基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,阿倍野筋１丁目,,男,0,378,0,1,0,3,2,3,1,6,1,3,6,5,3,3,4,4,1,3,5,3,3,2,2,4,5,2,7,2,0,4,2,2,1,2,7,4,3,1,1,1,3,5,6,2,4,13,9,7,5,13,9,8,1,8,10,7,10,3,10,5,6,8,4,6,7,6,4,2,5,6,3,4,3,6,8,3,4,2,5,4,4,2,1,1,6,1,3,3,0,3,0,2,1,1,2,1,0,1,0,0,0,0,0
2021/3/31,阿倍野筋１丁目,,女,0,511,0,3,1,1,4,2,5,5,4,4,5,2,7,2,3,2,3,3,6,6,4,2,8,4,0,2,4,2,5,1,2,2,1,7,2,2,5,6,2,5,6,6,5,4,8,6,9,7,5,8,15,10,11,14,8,13,7,10,11,7,10,13,5,6,7,4,3,8,5,13,6,5,8,13,4,11,3,5,6,8,6,3,3,6,6,4,8,6,2,5,6,3,2,2,0,2,0,0,0,0,0,0,0
2021/3/31,阿倍野筋１丁目,,計,453,889,0,4,1,4,6,5,6,11,5,7,11,7,10,5,7,6,4,6,11,9,7,4,10,8,5,4,11,4,5,5,4,4,2,9,9,6,8,7,3,6,9,11,11,6,12,19,18,14,10,21,24,18,12,22,18,20,17,13,21,12,16,21,9,12,14,10,7,10,10,19,9,9,11,19,12,14,7,7,11,12,10,5,4,7,12,5,11,9,2,8,6,5,3,3,2,3,0,1,0,0,0,0,0
2021/3/31,阿倍野筋２丁目,,男,0,453,0,7,7,4,5,9,3,9,6,5,4,11,6,8,6,4,8,8,4,8,9,4,2,7,3,3,2,3,0,5,6,2,1,11,5,4,2,8,2,5,9,10,12,9,5,9,11,9,4,6,11,6,8,12,10,5,11,10,7,7,6,2,1,1,3,5,3,2,3,3,3,3,5,6,3,2,3,3,4,2,1,1,1,0,0,2,1,1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0
2021/3/31,阿倍野筋２丁目,,女,0,536,0,5,2,2,3,4,3,3,4,8,7,5,4,3,12,6,5,6,6,9,7,9,5,3,4,5,4,5,2,8,4,6,3,7,6,4,6,4,5,7,10,10,17,8,10,13,17,11,6,13,15,14,13,10,13,5,12,3,7,2,5,4,8,7,4,2,9,2,2,4,3,5,6,6,4,8,2,2,5,2,4,1,4,3,5,4,4,1,2,2,4,1,0,0,1,0,0,0,0,0,0,0,0
2021/3/31,阿倍野筋２丁目,,計,428,989,0,12,9,6,8,13,6,12,10,13,11,16,10,11,18,10,13,14,10,17,16,13,7,10,7,8,6,8,2,13,10,8,4,18,11,8,8,12,7,12,19,20,29,17,15,22,28,20,10,19,26,20,21,22,23,10,23,13,14,9,11,6,9,8,7,7,12,4,5,7,6,8,11,12,7,10,5,5,9,4,5,2,5,3,5,6,5,2,2,3,5,1,0,0,4,1,0,0,0,0,0,0,0
2021/3/31,阿倍野筋３丁目,,男,0,991,0,6,7,6,9,10,15,8,8,11,6,9,4,2,7,5,7,10,7,12,13,11,10,8,8,10,7,12,10,14,9,14,4,13,8,12,18,12,12,20,14,12,13,13,13,20,19,15,20,21,16,16,16,16,11,21,18,20,7,14,18,15,11,12,9,12,13,6,10,16,9,17,12,20,15,15,2,10,8,7,9,3,5,2,3,9,8,5,7,0,2,2,2,2,1,1,2,0,2,0,0,0,0
2021/3/31,阿倍野筋３丁目,,女,0,1289,0,6,6,15,6,6,13,8,9,11,8,7,4,7,12,13,7,6,14,12,11,7,12,12,13,7,16,12,6,19,13,25,12,18,10,12,9,18,16,17,15,19,25,12,18,12,22,13,28,13,25,14,29,28,16,18,22,18,16,23,18,16,13,20,13,13,11,15,16,18,12,20,19,19,18,18,10,15,12,11,15,17,8,12,13,13,12,5,9,7,5,7,16,9,4,3,0,3,2,0,1,0,0
2021/3/31,阿倍野筋３丁目,,計,1214,2280,0,12,13,21,15,16,28,16,17,22,14,16,8,9,19,18,14,16,21,24,24,18,22,20,21,17,23,24,16,33,22,39,16,31,18,24,27,30,28,37,29,31,38,25,31,32,41,28,48,34,41,30,45,44,27,39,40,38,23,37,36,31,24,32,22,25,24,21,26,34,21,37,31,39,33,33,12,25,20,18,24,20,13,14,16,22,20,10,16,7,7,9,18,11,5,4,2,3,4,0,1,0,0
2021/3/31,阿倍野筋４丁目,,男,0,804,0,9,5,4,5,1,7,7,6,8,3,1,5,4,7,7,7,5,5,10,9,8,12,8,10,11,5,7,13,11,9,7,10,9,10,8,11,13,9,10,11,5,9,13,7,11,17,12,19,17,11,21,12,14,10,14,15,13,13,9,15,15,15,7,6,12,6,13,12,9,16,14,10,12,13,10,7,4,6,9,5,7,4,3,6,4,1,5,1,2,1,2,0,1,1,0,0,0,1,0,0,0,0
