基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,高殿１丁目,,男,0,725,0,9,4,14,15,8,18,8,11,3,7,7,4,8,6,9,5,9,10,8,4,8,11,9,13,14,4,13,10,10,9,15,8,10,7,11,10,17,11,10,15,16,11,14,6,9,7,8,14,9,16,15,12,14,9,9,10,12,8,8,10,7,12,7,3,7,3,9,4,6,8,6,3,6,5,6,3,2,2,5,1,3,3,2,1,3,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2021/3/31,高殿１丁目,,女,0,792,0,15,15,9,14,12,11,10,5,8,5,6,3,3,7,2,8,6,5,8,14,10,17,22,11,14,9,11,10,7,13,13,12,15,14,12,15,14,9,10,14,7,10,5,10,11,11,6,9,9,18,15,13,16,19,11,12,5,13,8,11,6,6,7,4,5,7,6,7,6,5,7,8,4,3,6,2,4,7,10,4,7,4,0,3,4,5,6,4,2,0,0,3,2,0,0,0,0,1,0,0,0,0
2021/3/31,高殿１丁目,,計,646,1517,0,24,19,23,29,20,29,18,16,11,12,13,7,11,13,11,13,15,15,16,18,18,28,31,24,28,13,24,20,17,22,28,20,25,21,23,25,31,20,20,29,23,21,19,16,20,18,14,23,18,34,30,25,30,28,20,22,17,21,16,21,13,18,14,7,12,10,15,11,12,13,13,11,10,8,12,5,6,9,15,5,10,7,2,4,7,7,8,6,3,1,0,3,2,0,0,1,0,1,0,0,0,0
2021/3/31,高殿２丁目,,男,0,1657,0,8,11,11,10,12,9,15,9,7,15,11,8,14,13,17,10,23,15,21,16,18,21,17,20,12,20,24,20,18,19,16,15,14,14,21,12,20,15,29,16,30,21,31,21,27,17,24,21,27,44,34,30,23,32,13,28,31,23,27,21,20,23,23,24,25,18,24,21,26,23,30,26,24,32,18,18,9,6,17,20,10,15,15,9,5,4,6,3,10,4,2,1,3,1,0,0,0,1,0,0,0,0
2021/3/31,高殿２丁目,,女,0,1845,0,6,12,12,18,9,4,15,10,12,12,10,12,20,20,16,9,17,12,18,11,9,18,26,11,14,19,15,12,14,25,16,21,16,22,16,13,23,16,16,23,19,30,23,22,24,22,33,32,24,33,29,33,29,21,31,25,29,27,33,22,30,32,26,27,32,21,21,33,16,34,28,25,34,34,29,16,23,23,22,24,11,15,14,17,16,13,20,8,11,11,11,6,5,8,1,2,3,2,0,0,0,0
2021/3/31,高殿２丁目,,計,1751,3502,0,14,23,23,28,21,13,30,19,19,27,21,20,34,33,33,19,40,27,39,27,27,39,43,31,26,39,39,32,32,44,32,36,30,36,37,25,43,31,45,39,49,51,54,43,51,39,57,53,51,77,63,63,52,53,44,53,60,50,60,43,50,55,49,51,57,39,45,54,42,57,58,51,58,66,47,34,32,29,39,44,21,30,29,26,21,17,26,11,21,15,13,7,8,9,1,2,3,3,0,0,0,0
2021/3/31,高殿３丁目,,男,0,1169,0,8,11,4,7,11,8,9,8,12,6,16,9,8,9,8,10,11,16,11,10,9,14,12,9,10,10,7,12,7,7,7,15,10,11,11,6,12,16,10,10,16,15,15,10,16,19,17,18,22,16,21,13,18,16,10,19,15,18,15,7,13,12,12,15,19,8,14,14,20,17,27,22,29,20,13,10,15,16,10,26,16,19,15,9,7,11,12,6,9,5,6,1,3,2,2,0,1,0,0,0,0,0
2021/3/31,高殿３丁目,,女,0,1395,0,4,9,7,7,5,10,10,9,12,6,8,6,4,10,5,7,5,5,16,11,4,11,9,10,5,11,9,12,11,8,8,9,7,12,15,14,14,11,20,10,17,13,11,14,13,17,18,28,20,17,22,16,22,28,8,26,21,18,18,17,17,14,15,17,17,5,28,16,19,22,28,31,32,32,18,17,26,22,26,21,19,20,23,21,17,22,10,20,17,10,13,14,7,10,5,5,2,2,3,2,0,0
2021/3/31,高殿３丁目,,計,1285,2564,0,12,20,11,14,16,18,19,17,24,12,24,15,12,19,13,17,16,21,27,21,13,25,21,19,15,21,16,24,18,15,15,24,17,23,26,20,26,27,30,20,33,28,26,24,29,36,35,46,42,33,43,29,40,44,18,45,36,36,33,24,30,26,27,32,36,13,42,30,39,39,55,53,61,52,31,27,41,38,36,47,35,39,38,30,24,33,22,26,26,15,19,15,10,12,7,5,3,2,3,2,0,0
2021/3/31,高殿４丁目,,男,0,1296,0,8,14,6,10,15,8,14,11,11,6,13,9,16,14,8,8,11,11,5,25,8,8,9,15,13,16,48,28,21,14,13,15,15,12,19,16,9,12,18,20,16,24,19,21,22,17,31,29,28,27,24,18,16,17,24,19,20,13,19,13,14,17,14,13,5,14,13,14,8,11,14,18,18,24,16,9,7,8,13,9,11,7,2,11,10,2,6,4,2,1,2,2,3,2,1,0,1,0,0,1,0,0
