基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,安堂寺町１丁目,,男,0,283,0,2,2,4,0,0,3,1,2,3,3,1,5,4,4,0,0,1,2,3,1,4,4,6,3,6,4,10,4,2,4,8,9,8,3,4,0,5,4,4,5,3,3,8,4,2,5,6,6,6,5,3,6,6,6,2,4,2,3,8,2,3,5,1,3,0,0,3,0,1,2,7,2,5,4,0,4,1,2,1,1,0,0,1,5,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2021/3/31,安堂寺町１丁目,,女,0,344,0,1,0,1,1,2,5,0,1,2,2,1,5,1,2,1,3,2,3,1,3,6,5,6,3,7,7,12,6,8,9,6,7,8,9,8,1,5,8,9,6,5,7,6,2,4,7,4,6,4,8,6,7,6,9,7,3,5,4,2,1,0,5,3,4,0,0,2,3,3,7,0,5,2,3,0,3,0,1,2,0,1,3,1,3,2,2,1,0,0,1,1,0,2,1,1,3,1,1,0,0,1,0
2021/3/31,安堂寺町１丁目,,計,386,627,0,3,2,5,1,2,8,1,3,5,5,2,10,5,6,1,3,3,5,4,4,10,9,12,6,13,11,22,10,10,13,14,16,16,12,12,1,10,12,13,11,8,10,14,6,6,12,10,12,10,13,9,13,12,15,9,7,7,7,10,3,3,10,4,7,0,0,5,3,4,9,7,7,7,7,0,7,1,3,3,1,1,3,2,8,2,2,1,2,0,1,1,1,3,1,1,3,1,1,0,0,1,0
2021/3/31,安堂寺町２丁目,,男,0,1058,0,13,11,6,11,9,5,12,11,3,11,11,7,5,8,6,5,2,8,11,8,6,8,13,11,18,24,22,20,27,26,14,18,24,26,11,21,17,17,18,27,30,16,27,13,34,21,26,24,20,16,21,15,20,19,15,20,15,12,5,7,10,4,15,2,3,6,12,3,9,8,4,8,11,4,3,4,3,7,5,7,0,2,1,0,7,0,2,5,0,1,2,1,0,0,2,0,0,0,0,0,0,0
2021/3/31,安堂寺町２丁目,,女,0,1295,0,12,13,6,8,12,7,12,10,10,10,13,13,4,5,1,7,5,3,9,5,8,9,23,17,21,36,21,26,26,31,22,31,29,30,21,32,32,27,24,28,33,29,35,28,29,28,26,24,25,22,19,20,34,24,17,8,12,18,11,5,10,6,7,7,10,7,4,8,11,5,6,10,9,9,6,2,2,6,7,2,7,6,5,4,5,3,4,0,4,2,6,3,1,1,1,1,1,1,0,0,0,0
2021/3/31,安堂寺町２丁目,,計,1466,2353,0,25,24,12,19,21,12,24,21,13,21,24,20,9,13,7,12,7,11,20,13,14,17,36,28,39,60,43,46,53,57,36,49,53,56,32,53,49,44,42,55,63,45,62,41,63,49,52,48,45,38,40,35,54,43,32,28,27,30,16,12,20,10,22,9,13,13,16,11,20,13,10,18,20,13,9,6,5,13,12,9,7,8,6,4,12,3,6,5,4,3,8,4,1,1,3,1,1,1,0,0,0,0
2021/3/31,上本町西１丁目,,男,0,415,0,6,7,4,7,9,3,2,6,4,9,1,3,2,7,0,2,2,0,6,6,4,4,2,6,4,6,3,5,11,8,5,8,12,11,8,6,15,11,8,8,8,4,11,9,5,3,6,9,7,9,6,8,5,3,3,9,3,6,6,5,7,1,5,2,3,3,2,3,0,1,3,4,1,6,0,0,3,1,1,4,1,2,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/3/31,上本町西１丁目,,女,0,460,0,10,4,8,4,3,1,4,4,3,2,3,3,2,2,3,0,4,2,3,4,0,2,5,6,3,5,10,6,8,9,7,13,15,15,14,12,7,10,8,13,8,5,10,6,5,8,4,11,7,7,5,9,13,15,1,8,10,8,5,4,6,4,4,1,4,2,2,5,2,0,1,3,3,1,1,2,4,4,1,2,1,1,0,2,3,2,2,2,3,2,0,1,1,0,1,0,1,0,0,0,0,0
2021/3/31,上本町西１丁目,,計,511,875,0,16,11,12,11,12,4,6,10,7,11,4,6,4,9,3,2,6,2,9,10,4,6,7,12,7,11,13,11,19,17,12,21,27,26,22,18,22,21,16,21,16,9,21,15,10,11,10,20,14,16,11,17,18,18,4,17,13,14,11,9,13,5,9,3,7,5,4,8,2,1,4,7,4,7,1,2,7,5,2,6,2,3,1,2,5,2,2,2,5,3,0,1,1,0,1,0,1,0,0,0,0,0
2021/3/31,上本町西２丁目,,男,0,504,0,4,2,5,2,8,5,3,3,5,3,6,2,7,2,2,5,5,5,5,6,3,6,6,4,7,8,3,5,6,10,3,2,5,7,6,4,8,4,14,6,11,10,13,12,8,7,4,13,13,9,14,11,9,8,8,11,9,4,3,7,5,4,2,5,3,8,5,4,6,9,5,1,6,6,5,4,1,6,6,3,4,2,1,5,4,2,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0
