基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,福島１丁目,,計,786,"1,345",,17,14,13,8,10,12,21,15,12,11,6,10,7,11,4,4,7,1,6,7,6,12,7,10,14,17,21,17,13,21,11,22,23,22,29,18,24,16,29,18,23,25,38,29,26,25,26,25,31,26,20,26,25,14,19,17,23,17,20,19,25,9,14,15,10,12,10,7,9,13,19,17,13,15,11,11,8,6,9,15,8,8,11,5,6,7,8,4,4,3,3,2,,2,2,1,,,1,1,1,
2020/3/31,福島２丁目,,計,521,658,,,,,1,1,1,1,1,,,1,2,1,1,4,2,1,2,2,,4,9,11,12,15,17,12,16,18,13,17,17,18,16,9,9,15,15,10,5,16,9,8,8,13,13,15,10,7,8,6,12,8,11,6,5,10,12,9,6,4,,1,6,12,4,12,4,5,6,8,11,11,9,,11,8,7,3,7,1,5,10,4,7,3,5,4,1,7,4,3,,2,,,2,,,,,
2020/3/31,福島３丁目,,計,"1,477","2,604",,28,20,37,14,22,22,20,12,30,12,13,16,16,20,12,18,15,21,11,17,10,10,16,19,30,27,23,38,27,40,41,40,51,40,44,44,45,53,46,48,46,50,55,52,53,48,52,55,53,51,40,39,38,37,52,40,39,37,39,39,25,33,24,24,26,24,27,27,18,32,31,34,35,23,9,19,22,16,20,17,12,19,14,15,17,11,10,8,7,6,4,4,4,,,1,1,,,2,,
2020/3/31,福島４丁目,,計,"1,774","3,540",,36,51,45,56,53,66,54,55,52,50,34,32,35,30,15,19,20,21,26,12,21,20,30,25,59,33,52,39,48,50,59,53,59,59,74,54,71,91,92,94,86,127,94,75,74,64,75,68,62,58,72,54,45,33,49,37,39,34,38,31,33,17,19,22,14,17,19,16,15,21,18,28,29,20,10,15,12,21,15,12,6,9,13,10,16,6,5,9,4,5,4,1,6,1,1,2,2,4,1,1,1,
2020/3/31,福島５丁目,,計,634,"1,095",,17,12,8,6,5,11,9,8,9,10,8,6,11,2,6,5,6,5,4,7,11,10,8,5,20,17,19,14,17,12,19,15,16,23,17,14,21,24,14,28,25,18,23,14,20,13,16,17,24,14,23,14,12,12,19,16,10,13,22,11,6,11,9,10,13,8,10,9,11,8,13,14,10,10,5,14,16,11,11,7,6,2,6,6,5,4,8,9,6,3,3,4,1,3,2,1,2,1,2,,,
2020/3/31,福島６丁目,,計,"1,796","2,635",,28,38,29,20,20,26,21,19,16,8,11,11,10,11,8,6,9,8,7,14,16,15,18,75,52,76,81,76,64,78,53,62,75,87,65,63,67,65,60,58,64,55,61,44,44,45,53,46,52,39,36,40,30,27,26,18,17,23,17,16,11,16,13,13,11,9,8,14,17,13,15,24,24,18,13,14,7,8,9,9,8,11,8,8,14,6,7,5,3,5,5,3,,1,3,1,1,,,1,,
2020/3/31,福島７丁目,,計,"1,428","2,202",,26,24,21,23,21,14,14,12,13,5,11,11,8,12,10,12,6,10,13,26,20,9,27,29,49,55,39,51,55,60,45,72,67,45,50,62,60,45,44,29,43,38,39,42,44,55,54,38,31,41,28,36,31,21,32,20,26,27,14,18,17,15,17,17,13,13,10,12,11,24,19,15,11,14,3,13,9,8,8,9,7,8,6,8,7,4,6,4,2,2,1,1,2,1,,,1,1,,,,
2020/3/31,福島８丁目,,計,855,"1,392",,1,7,12,6,8,6,7,9,10,7,10,10,11,2,10,7,6,4,9,8,12,8,13,19,27,31,30,29,29,34,23,22,14,29,21,25,19,24,28,23,9,15,19,13,27,20,19,21,22,14,16,15,14,16,21,13,12,15,18,23,18,15,18,14,7,16,18,16,11,17,16,19,16,19,7,22,12,17,18,11,12,10,11,15,15,6,9,9,8,10,5,5,5,3,,4,3,1,,,2,
2020/3/31,玉川１丁目,,計,"1,388","2,891",,30,24,44,25,42,32,39,33,37,39,31,39,32,26,29,37,22,26,24,18,26,31,34,25,37,42,36,34,25,30,36,35,40,45,32,51,40,60,52,37,50,55,60,69,59,66,50,59,53,50,52,62,49,40,35,40,50,33,31,29,29,33,19,20,23,18,23,24,21,24,17,30,26,17,15,13,17,17,16,14,14,11,9,2,10,12,10,6,5,6,4,4,7,3,2,1,,,,,,
2020/3/31,玉川２丁目,,計,"1,266","2,324",,16,13,13,15,9,16,14,14,17,17,12,14,19,14,19,19,17,16,18,11,13,18,23,31,19,32,34,30,25,38,32,34,30,27,27,29,32,25,24,34,26,36,22,31,36,35,33,34,35,38,37,25,31,19,34,26,17,19,27,24,19,25,25,19,22,22,21,35,37,22,55,47,55,39,27,37,44,35,40,28,22,21,25,15,28,19,7,10,22,9,8,9,9,6,4,2,3,1,2,2,1,
