基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,中道１丁目,,男,0,708,0,2,3,3,2,2,4,3,7,4,3,3,6,2,4,2,1,1,4,2,1,3,9,7,16,13,17,21,12,22,19,13,16,19,14,12,16,19,17,14,12,13,13,5,12,11,9,15,12,12,12,8,9,10,11,9,5,8,12,2,8,7,4,9,6,7,10,4,4,4,8,11,11,8,9,4,4,3,8,8,4,3,5,3,3,3,5,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
2021/3/31,中道１丁目,,女,0,824,0,5,4,7,7,6,7,7,3,2,3,3,3,2,1,4,2,4,1,1,3,6,4,9,19,11,19,22,24,22,14,12,17,18,14,17,17,13,9,10,17,14,19,13,19,15,14,14,10,20,8,12,8,8,8,12,12,9,7,7,12,5,9,6,5,9,7,7,6,8,6,14,10,10,13,8,6,6,7,7,6,13,7,4,6,5,6,4,2,2,1,1,3,1,1,0,0,0,0,1,0,2,0
2021/3/31,中道１丁目,,計,1047,1532,0,7,7,10,9,8,11,10,10,6,6,6,9,4,5,6,3,5,5,3,4,9,13,16,35,24,36,43,36,44,33,25,33,37,28,29,33,32,26,24,29,27,32,18,31,26,23,29,22,32,20,20,17,18,19,21,17,17,19,9,20,12,13,15,11,16,17,11,10,12,14,25,21,18,22,12,10,9,15,15,10,16,12,7,9,8,11,5,2,4,3,1,4,1,1,0,1,0,0,1,0,2,0
2021/3/31,中道２丁目,,男,0,1229,0,7,10,3,6,2,12,8,13,11,10,5,5,10,9,6,9,6,6,6,6,13,11,21,12,18,12,19,23,25,15,23,13,14,17,12,24,12,15,22,13,18,15,20,22,24,19,17,22,20,16,17,15,18,9,27,19,12,11,16,15,11,14,15,12,19,13,15,17,11,23,18,22,18,29,14,10,10,12,14,9,11,11,7,15,8,6,4,6,8,3,2,4,0,0,0,0,0,1,1,0,0,0
2021/3/31,中道２丁目,,女,0,1383,0,7,7,4,10,2,7,6,9,10,6,5,5,7,8,7,9,10,3,11,23,24,11,15,24,23,24,28,16,16,23,14,13,24,14,17,11,18,22,20,17,14,15,22,17,15,18,12,17,17,22,15,16,22,14,15,13,14,16,12,15,14,12,11,11,19,20,20,13,14,25,23,19,31,16,18,17,18,17,20,20,22,13,14,21,18,13,14,10,15,7,4,6,2,3,1,2,2,1,3,1,2,0
2021/3/31,中道２丁目,,計,1600,2612,0,14,17,7,16,4,19,14,22,21,16,10,10,17,17,13,18,16,9,17,29,37,22,36,36,41,36,47,39,41,38,37,26,38,31,29,35,30,37,42,30,32,30,42,39,39,37,29,39,37,38,32,31,40,23,42,32,26,27,28,30,25,26,26,23,38,33,35,30,25,48,41,41,49,45,32,27,28,29,34,29,33,24,21,36,26,19,18,16,23,10,6,10,2,3,1,2,2,2,4,1,2,0
2021/3/31,中道３丁目,,男,0,934,0,12,8,11,8,6,9,5,4,1,1,3,11,2,4,9,6,7,4,4,5,10,1,18,18,19,28,26,24,28,20,25,22,18,19,22,15,17,12,15,14,10,11,5,16,9,16,13,17,19,12,19,13,10,15,13,7,8,11,9,8,8,8,11,4,5,8,13,8,11,10,4,5,7,17,8,7,4,10,5,3,6,7,6,10,2,2,4,2,1,4,1,0,0,0,1,0,0,0,0,0,0,0
2021/3/31,中道３丁目,,女,0,1200,0,7,6,6,12,6,4,2,3,3,2,6,5,5,7,11,5,2,6,5,2,8,8,17,31,42,36,43,29,34,35,37,29,26,19,19,17,19,18,14,11,19,14,13,14,15,20,20,15,13,22,20,17,15,16,13,9,12,6,9,13,15,10,10,9,11,6,11,7,6,8,10,15,12,10,9,12,14,10,12,10,9,9,7,7,6,9,10,10,4,7,0,3,6,1,5,4,1,2,1,0,0,0
2021/3/31,中道３丁目,,計,1409,2134,0,19,14,17,20,12,13,7,7,4,3,9,16,7,11,20,11,9,10,9,7,18,9,35,49,61,64,69,53,62,55,62,51,44,38,41,32,36,30,29,25,29,25,18,30,24,36,33,32,32,34,39,30,25,31,26,16,20,17,18,21,23,18,21,13,16,14,24,15,17,18,14,20,19,27,17,19,18,20,17,13,15,16,13,17,8,11,14,12,5,11,1,3,6,1,6,4,1,2,1,0,0,0
2021/3/31,中道４丁目,,男,0,834,0,10,13,7,4,8,7,7,5,8,8,5,1,4,5,7,5,5,8,3,9,6,10,8,9,10,11,11,9,16,17,16,21,21,12,14,16,17,12,12,8,10,15,13,11,14,10,11,11,12,13,13,6,10,14,5,10,11,12,8,6,15,12,6,7,6,8,7,8,14,11,10,13,11,15,5,6,6,8,8,4,8,2,5,10,4,5,6,4,4,1,0,1,2,1,0,0,0,1,0,0,0,0
