基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,今林１丁目,,男,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/3/31,今林１丁目,,女,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/3/31,今林１丁目,,計,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/3/31,今林２丁目,,男,0,412,0,4,4,1,2,3,1,0,2,3,3,4,1,2,5,2,3,1,4,2,4,6,3,2,4,10,5,10,7,9,8,2,1,5,1,5,4,5,11,7,10,5,3,5,2,4,2,3,4,3,14,4,9,7,8,7,2,6,4,5,6,3,3,8,5,2,6,5,4,8,5,5,7,5,8,4,4,3,5,3,8,6,6,3,9,1,6,1,4,0,3,1,0,1,1,0,0,0,0,0,0,0,0
2021/3/31,今林２丁目,,女,0,401,0,5,3,1,3,1,2,3,3,0,0,2,0,3,3,2,6,1,2,2,6,4,2,2,4,4,7,5,9,5,3,7,6,2,3,8,1,3,7,3,3,1,5,3,0,4,3,10,5,8,9,5,2,5,4,4,6,9,3,5,3,7,5,2,2,1,6,3,4,5,6,8,8,9,8,5,4,8,4,7,9,4,10,1,5,9,6,7,4,3,1,2,0,2,1,1,2,1,1,0,0,0,0
2021/3/31,今林２丁目,,計,432,813,0,9,7,2,5,4,3,3,5,3,3,6,1,5,8,4,9,2,6,4,10,10,5,4,8,14,12,15,16,14,11,9,7,7,4,13,5,8,18,10,13,6,8,8,2,8,5,13,9,11,23,9,11,12,12,11,8,15,7,10,9,10,8,10,7,3,12,8,8,13,11,13,15,14,16,9,8,11,9,10,17,10,16,4,14,10,12,8,8,3,4,3,0,3,2,1,2,1,1,0,0,0,0
2021/3/31,今林３丁目,,男,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2,2,0,2,0,3,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/3/31,今林３丁目,,女,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/3/31,今林３丁目,,計,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,3,2,1,2,1,3,3,0,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/3/31,今林４丁目,,男,0,251,0,0,2,2,4,5,1,3,2,1,2,2,1,2,1,0,1,2,3,2,8,1,2,7,3,3,2,1,3,3,2,4,3,5,4,4,3,2,3,2,4,3,3,7,2,3,2,4,3,6,7,0,9,1,2,1,4,5,2,2,3,3,2,3,3,4,5,2,2,3,3,3,6,4,3,2,1,3,4,2,1,4,2,1,4,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
