基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,井高野１丁目,,男,0,1223,0,9,5,6,16,6,10,6,10,13,9,9,17,15,7,11,11,13,15,11,12,9,16,13,11,18,12,7,12,11,7,12,11,11,11,15,14,10,12,11,10,5,13,10,15,16,12,12,18,21,17,16,23,28,32,23,21,19,17,23,16,23,21,16,14,15,15,13,16,11,23,16,23,21,19,9,6,16,15,21,10,12,15,10,7,11,12,7,7,7,4,0,4,1,1,0,0,0,0,1,0,0,0
2021/3/31,井高野１丁目,,女,0,1406,0,5,7,11,10,12,11,14,7,12,9,8,7,10,8,11,7,9,10,14,13,14,17,15,16,10,9,13,15,15,13,11,20,11,14,14,14,9,8,10,19,12,9,12,22,8,15,15,25,32,17,22,17,23,29,29,25,23,26,22,20,13,13,17,9,13,17,12,19,18,21,21,21,19,27,21,15,25,19,18,30,22,19,8,18,15,28,10,13,11,9,6,4,4,1,1,0,2,0,1,0,1,0
2021/3/31,井高野１丁目,,計,1334,2629,0,14,12,17,26,18,21,20,17,25,18,17,24,25,15,22,18,22,25,25,25,23,33,28,27,28,21,20,27,26,20,23,31,22,25,29,28,19,20,21,29,17,22,22,37,24,27,27,43,53,34,38,40,51,61,52,46,42,43,45,36,36,34,33,23,28,32,25,35,29,44,37,44,40,46,30,21,41,34,39,40,34,34,18,25,26,40,17,20,18,13,6,8,5,2,1,0,2,0,2,0,1,0
2021/3/31,井高野２丁目,,男,0,930,0,7,1,9,5,7,6,5,6,5,7,3,8,7,10,7,6,9,3,5,13,11,1,8,4,6,9,13,9,7,9,12,13,10,11,13,8,11,10,12,8,5,10,13,7,13,20,12,17,11,20,13,13,13,18,7,15,8,13,10,6,8,16,10,10,8,12,12,14,16,15,14,19,13,20,14,13,11,16,16,16,17,11,13,13,10,9,3,7,6,0,1,2,1,1,3,1,0,0,0,0,1,0
2021/3/31,井高野２丁目,,女,0,991,0,5,8,6,8,4,4,2,3,4,5,2,6,9,2,5,2,6,5,14,8,6,5,9,11,8,9,7,11,13,7,6,8,10,9,5,11,9,8,5,9,13,10,9,10,11,6,11,11,14,10,11,13,18,10,9,14,5,12,15,14,10,6,17,6,4,10,9,10,20,19,20,25,19,26,19,11,13,16,30,24,25,19,10,16,17,12,11,14,12,7,7,3,10,2,1,4,2,1,2,0,2,0
2021/3/31,井高野２丁目,,計,1109,1921,0,12,9,15,13,11,10,7,9,9,12,5,14,16,12,12,8,15,8,19,21,17,6,17,15,14,18,20,20,20,16,18,21,20,20,18,19,20,18,17,17,18,20,22,17,24,26,23,28,25,30,24,26,31,28,16,29,13,25,25,20,18,22,27,16,12,22,21,24,36,34,34,44,32,46,33,24,24,32,46,40,42,30,23,29,27,21,14,21,18,7,8,5,11,3,4,5,2,1,2,0,3,0
2021/3/31,井高野３丁目,,男,0,1956,0,6,9,4,9,15,21,10,21,26,24,22,23,19,28,24,21,24,28,35,33,34,32,19,24,19,19,21,13,17,25,14,9,11,15,14,16,9,30,22,30,17,24,28,45,34,29,28,40,42,35,38,33,39,34,24,21,32,31,31,20,30,23,21,25,18,17,14,14,27,16,20,23,19,13,26,16,12,23,25,23,21,19,9,12,12,8,5,6,6,8,8,5,5,0,5,2,0,0,0,0,0,0
2021/3/31,井高野３丁目,,女,0,2235,0,4,4,12,10,15,14,21,21,23,35,29,25,30,16,22,17,27,22,22,28,30,27,23,20,22,23,15,14,12,11,15,10,13,9,18,16,16,32,22,20,31,25,32,39,36,41,42,29,36,50,51,36,43,43,33,29,27,34,31,29,27,19,26,17,23,26,22,24,17,19,16,30,30,35,26,22,19,26,28,24,28,10,21,23,29,22,20,15,23,17,14,9,13,10,6,3,2,4,3,1,4,0
2021/3/31,井高野３丁目,,計,1880,4191,0,10,13,16,19,30,35,31,42,49,59,51,48,49,44,46,38,51,50,57,61,64,59,42,44,41,42,36,27,29,36,29,19,24,24,32,32,25,62,44,50,48,49,60,84,70,70,70,69,78,85,89,69,82,77,57,50,59,65,62,49,57,42,47,42,41,43,36,38,44,35,36,53,49,48,52,38,31,49,53,47,49,29,30,35,41,30,25,21,29,25,22,14,18,10,11,5,2,4,3,1,4,0
2021/3/31,井高野４丁目,,男,0,632,0,3,3,7,2,2,5,2,1,4,5,2,3,2,5,2,3,3,8,10,5,10,10,7,6,5,6,6,2,7,7,4,4,7,3,3,2,7,4,3,9,3,6,4,8,3,8,5,19,5,9,14,14,16,9,12,9,7,10,5,8,8,6,8,2,10,6,10,5,8,9,10,10,10,7,13,3,6,12,17,14,17,8,10,13,10,6,8,5,6,4,4,2,1,0,0,1,0,0,0,0,0,0
