基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,平野馬場１丁目,,男,0,301,0,8,10,6,4,5,3,3,4,3,3,0,3,1,6,2,1,3,1,1,0,2,3,1,1,3,4,5,7,10,8,15,8,15,12,12,6,15,6,8,3,3,1,2,2,4,2,5,0,4,3,2,2,2,0,0,1,1,1,2,1,1,2,3,4,0,6,0,4,3,4,1,2,1,2,1,1,2,3,0,2,2,3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021/3/31,平野馬場１丁目,,女,0,284,0,9,7,6,7,7,1,3,4,4,1,4,2,3,3,0,2,0,0,0,1,4,2,1,1,4,0,5,10,7,13,15,14,4,11,6,9,9,7,1,6,5,6,3,3,0,0,5,3,1,4,3,0,0,2,1,2,1,0,5,3,2,3,4,2,2,0,1,0,1,1,1,4,0,0,2,2,2,0,1,3,1,2,1,0,1,2,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2021/3/31,平野馬場１丁目,,計,263,585,0,17,17,12,11,12,4,6,8,7,4,4,5,4,9,2,3,3,1,1,1,6,5,2,2,7,4,10,17,17,21,30,22,19,23,18,15,24,13,9,9,8,7,5,5,4,2,10,3,5,7,5,2,2,2,1,3,2,1,7,4,3,5,7,6,2,6,1,4,4,5,2,6,1,2,3,3,4,3,1,5,3,5,2,0,2,2,1,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0
2021/3/31,平野馬場２丁目,,男,0,312,0,3,0,1,2,5,1,1,1,2,0,3,0,4,2,2,0,2,0,2,2,2,1,6,2,6,6,5,1,8,2,4,3,3,6,5,4,3,3,2,6,8,8,7,6,6,3,2,7,5,5,5,6,12,6,8,7,1,6,7,1,3,5,3,3,0,5,3,1,4,1,4,11,2,7,9,1,1,4,1,4,1,2,0,2,0,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2021/3/31,平野馬場２丁目,,女,0,339,0,2,2,2,2,4,1,3,2,2,2,6,1,4,3,3,3,3,5,2,3,1,2,3,8,7,2,5,6,4,3,3,2,2,2,7,5,2,4,5,7,6,4,9,3,3,5,2,7,6,5,8,4,8,6,8,4,3,1,2,4,4,5,2,4,3,0,2,2,3,4,3,10,10,8,4,2,3,2,1,5,1,2,3,3,1,5,3,0,2,0,0,3,0,1,1,1,1,1,0,0,1,0
2021/3/31,平野馬場２丁目,,計,374,651,0,5,2,3,4,9,2,4,3,4,2,9,1,8,5,5,3,5,5,4,5,3,3,9,10,13,8,10,7,12,5,7,5,5,8,12,9,5,7,7,13,14,12,16,9,9,8,4,14,11,10,13,10,20,12,16,11,4,7,9,5,7,10,5,7,3,5,5,3,7,5,7,21,12,15,13,3,4,6,2,9,2,4,3,5,1,8,4,1,3,0,0,3,0,1,2,1,1,2,0,0,1,0
2021/3/31,平野北１丁目,,男,0,509,0,2,1,3,5,2,2,4,2,3,5,3,2,5,3,3,4,2,2,3,6,3,7,5,5,8,8,9,3,7,3,4,2,5,2,7,4,6,10,4,9,9,10,9,7,7,7,8,5,9,10,14,7,10,6,5,9,9,6,9,9,8,5,10,8,6,5,5,3,6,8,4,6,12,8,5,8,2,9,6,7,7,4,3,4,6,4,2,3,0,1,3,2,0,0,0,0,1,0,0,0,0,0
2021/3/31,平野北１丁目,,女,0,588,0,1,3,6,2,3,3,6,4,6,4,5,5,4,2,4,5,8,8,6,3,2,7,1,6,4,4,4,5,6,5,6,2,9,4,4,4,7,5,2,11,9,7,7,11,9,7,9,13,18,10,9,12,11,3,9,10,6,8,9,8,5,4,8,7,5,7,4,4,6,6,8,10,11,8,15,8,10,11,7,8,8,5,6,5,4,6,5,6,5,3,3,3,0,3,0,0,2,0,1,0,0,0
2021/3/31,平野北１丁目,,計,584,1097,0,3,4,9,7,5,5,10,6,9,9,8,7,9,5,7,9,10,10,9,9,5,14,6,11,12,12,13,8,13,8,10,4,14,6,11,8,13,15,6,20,18,17,16,18,16,14,17,18,27,20,23,19,21,9,14,19,15,14,18,17,13,9,18,15,11,12,9,7,12,14,12,16,23,16,20,16,12,20,13,15,15,9,9,9,10,10,7,9,5,4,6,5,0,3,0,0,3,0,1,0,0,0
2021/3/31,平野北２丁目,,男,0,394,0,4,2,7,4,4,9,6,5,2,4,2,3,3,2,3,2,3,2,9,4,4,6,4,2,7,2,3,6,6,4,6,6,9,7,6,3,9,2,3,4,3,11,10,12,10,6,8,7,9,5,6,4,3,4,3,2,6,10,3,3,5,5,3,3,4,2,4,4,2,5,1,5,2,10,4,2,3,3,1,1,0,2,2,2,3,4,1,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0
