基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,鶴橋１丁目,,男,0,603,0,1,3,1,3,1,2,1,1,3,5,3,0,0,1,3,1,0,1,0,5,10,14,11,24,19,14,17,15,14,17,14,8,9,7,10,5,4,6,7,3,4,3,8,4,7,8,5,8,5,7,9,6,5,6,5,6,13,11,6,8,14,4,8,8,10,9,5,6,6,9,6,10,10,13,6,4,8,5,4,8,8,5,5,4,3,6,6,3,5,2,1,0,1,1,1,1,0,0,0,0,1,0
2021/3/31,鶴橋１丁目,,女,0,504,0,2,1,1,1,1,1,1,1,0,1,1,0,4,2,1,1,1,1,1,4,5,6,13,10,12,12,13,6,5,8,5,11,7,10,7,4,5,5,1,2,8,3,0,5,4,3,2,3,6,1,4,4,6,7,7,4,5,8,2,6,7,3,4,3,8,5,5,7,4,6,5,8,5,9,2,1,5,9,10,8,5,6,11,12,10,7,10,5,8,12,6,4,11,5,3,6,4,2,0,0,2,0
2021/3/31,鶴橋１丁目,,計,873,1107,0,3,4,2,4,2,3,2,2,3,6,4,0,4,3,4,2,1,2,1,9,15,20,24,34,31,26,30,21,19,25,19,19,16,17,17,9,9,11,8,5,12,6,8,9,11,11,7,11,11,8,13,10,11,13,12,10,18,19,8,14,21,7,12,11,18,14,10,13,10,15,11,18,15,22,8,5,13,14,14,16,13,11,16,16,13,13,16,8,13,14,7,4,12,6,4,7,4,2,0,0,3,0
2021/3/31,鶴橋２丁目,,男,0,601,0,0,3,3,4,2,4,0,2,4,2,3,2,3,1,5,3,1,2,4,2,9,7,13,7,16,14,12,14,10,9,10,12,12,8,10,5,6,3,4,6,8,8,9,4,4,13,9,7,11,9,7,14,9,7,3,10,10,3,1,9,8,7,9,10,5,9,11,8,6,10,11,5,15,11,8,5,7,4,10,9,5,6,3,3,2,5,2,2,2,4,3,0,1,1,0,1,1,0,0,0,0,0
2021/3/31,鶴橋２丁目,,女,0,708,0,4,1,2,1,2,2,3,1,1,5,2,0,3,1,1,1,3,4,0,2,9,10,18,12,14,12,11,10,5,11,6,6,8,10,4,5,4,9,6,9,10,7,6,4,6,10,4,3,7,6,8,9,7,10,7,6,8,9,9,8,10,9,14,6,13,14,13,6,5,7,12,18,14,12,6,7,10,11,14,12,10,11,15,7,11,9,10,8,9,7,2,10,5,4,4,3,3,2,2,0,1,0
2021/3/31,鶴橋２丁目,,計,904,1309,0,4,4,5,5,4,6,3,3,5,7,5,2,6,2,6,4,4,6,4,4,18,17,31,19,30,26,23,24,15,20,16,18,20,18,14,10,10,12,10,15,18,15,15,8,10,23,13,10,18,15,15,23,16,17,10,16,18,12,10,17,18,16,23,16,18,23,24,14,11,17,23,23,29,23,14,12,17,15,24,21,15,17,18,10,13,14,12,10,11,11,5,10,6,5,4,4,4,2,2,0,1,0
2021/3/31,鶴橋３丁目,,男,0,478,0,5,5,6,2,2,3,1,3,4,3,2,0,3,1,3,2,1,4,3,2,4,2,3,9,9,7,6,7,7,5,2,11,5,5,6,4,5,10,8,8,5,6,7,4,10,6,7,5,6,5,6,6,8,8,5,6,10,6,7,8,3,6,7,3,7,10,7,9,5,8,10,15,12,9,3,7,3,5,3,4,4,6,3,3,2,1,2,6,1,1,0,2,0,0,1,1,0,0,0,0,0,0
2021/3/31,鶴橋３丁目,,女,0,649,0,1,6,5,4,2,5,5,3,2,2,3,2,1,4,1,1,2,6,7,22,11,2,6,8,8,9,6,15,8,11,9,3,10,8,4,5,8,8,9,3,10,8,4,8,2,6,5,10,6,4,9,5,12,11,8,9,14,7,9,8,6,7,10,12,9,9,4,14,11,11,8,7,12,11,12,4,5,9,11,4,8,9,11,4,4,9,5,5,4,7,6,5,0,4,1,0,1,0,0,0,0,0
2021/3/31,鶴橋３丁目,,計,679,1127,0,6,11,11,6,4,8,6,6,6,5,5,2,4,5,4,3,3,10,10,24,15,4,9,17,17,16,12,22,15,16,11,14,15,13,10,9,13,18,17,11,15,14,11,12,12,12,12,15,12,9,15,11,20,19,13,15,24,13,16,16,9,13,17,15,16,19,11,23,16,19,18,22,24,20,15,11,8,14,14,8,12,15,14,7,6,10,7,11,5,8,6,7,0,4,2,1,1,0,0,0,0,0
2021/3/31,鶴橋４丁目,,男,0,548,0,8,1,4,2,3,3,4,3,4,3,4,3,6,6,7,3,5,3,2,3,3,4,8,9,14,9,11,8,5,9,5,7,3,13,7,5,8,1,9,5,2,5,4,6,6,11,4,6,7,9,6,11,10,9,10,4,5,13,12,8,6,4,10,6,8,8,4,9,6,7,6,13,3,14,4,5,5,1,5,7,3,10,3,3,7,2,4,4,1,3,1,1,0,1,0,3,2,0,0,0,1,0
