基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,今福西１丁目,,男,0,1068,0,7,10,7,8,9,5,6,4,3,8,7,7,8,5,9,15,7,7,11,7,16,18,12,21,12,12,13,21,11,6,18,21,13,12,12,14,19,8,11,15,7,13,9,16,19,16,25,22,23,21,28,24,29,27,19,23,17,16,24,8,17,14,18,12,6,10,8,12,10,11,6,13,20,8,6,5,5,6,6,6,5,4,4,5,3,7,2,2,4,2,1,1,3,3,0,2,0,0,0,0,0,0
2021/3/31,今福西１丁目,,女,0,1144,0,8,10,7,8,4,3,8,3,3,6,5,10,10,13,10,6,6,7,10,13,16,13,13,14,17,16,17,15,15,13,21,12,20,14,11,19,11,15,16,14,8,13,11,12,14,12,26,23,18,36,25,23,29,24,21,22,19,9,17,15,15,13,12,19,9,9,14,9,8,17,7,15,20,13,5,8,9,6,6,11,7,5,8,9,5,8,7,4,6,5,6,5,6,4,2,2,1,0,0,0,0,0
2021/3/31,今福西１丁目,,計,1151,2212,0,15,20,14,16,13,8,14,7,6,14,12,17,18,18,19,21,13,14,21,20,32,31,25,35,29,28,30,36,26,19,39,33,33,26,23,33,30,23,27,29,15,26,20,28,33,28,51,45,41,57,53,47,58,51,40,45,36,25,41,23,32,27,30,31,15,19,22,21,18,28,13,28,40,21,11,13,14,12,12,17,12,9,12,14,8,15,9,6,10,7,7,6,9,7,2,4,1,0,0,0,0,0
2021/3/31,今福西２丁目,,男,0,1245,0,2,8,10,11,7,6,11,3,10,21,12,16,16,15,23,17,9,21,11,18,8,15,17,16,14,9,5,10,9,7,12,10,13,9,13,14,13,16,11,10,13,13,17,12,23,29,25,28,30,27,29,31,31,22,17,20,23,16,15,14,6,13,13,6,9,15,10,8,15,19,13,25,15,22,10,14,11,12,10,15,10,5,5,15,8,4,6,6,1,2,3,3,2,0,1,0,0,0,0,0,0,0
2021/3/31,今福西２丁目,,女,0,1352,0,7,9,3,5,5,2,7,3,10,12,8,17,17,16,15,22,11,16,24,17,18,17,12,11,12,10,13,11,11,7,8,12,14,5,20,10,12,15,11,14,14,20,22,23,27,22,28,34,29,27,31,26,25,25,17,19,18,17,14,8,10,15,11,18,14,17,16,14,13,24,14,21,16,30,22,16,10,16,10,14,13,12,9,11,18,4,8,5,7,4,5,7,2,5,3,1,0,1,1,0,0,0
2021/3/31,今福西２丁目,,計,1219,2597,0,9,17,13,16,12,8,18,6,20,33,20,33,33,31,38,39,20,37,35,35,26,32,29,27,26,19,18,21,20,14,20,22,27,14,33,24,25,31,22,24,27,33,39,35,50,51,53,62,59,54,60,57,56,47,34,39,41,33,29,22,16,28,24,24,23,32,26,22,28,43,27,46,31,52,32,30,21,28,20,29,23,17,14,26,26,8,14,11,8,6,8,10,4,5,4,1,0,1,1,0,0,0
2021/3/31,今福西３丁目,,男,0,656,0,3,5,5,3,5,3,7,2,8,7,6,7,9,7,7,2,6,12,9,6,8,7,3,10,8,11,6,7,10,12,12,8,8,9,5,13,8,18,8,6,9,13,11,5,5,9,8,13,11,12,13,15,10,7,6,6,15,6,6,7,5,6,7,6,5,4,10,9,2,4,2,7,6,15,9,5,11,6,10,8,3,4,3,3,6,3,5,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0
2021/3/31,今福西３丁目,,女,0,805,0,4,10,4,3,5,3,3,4,6,4,4,7,2,3,3,8,1,10,5,3,7,9,6,8,11,15,14,17,8,15,10,11,12,11,17,5,15,9,10,8,12,5,7,9,12,6,12,20,10,11,12,17,17,11,4,9,8,10,11,10,17,6,9,8,6,3,10,6,5,4,13,19,13,12,9,6,15,12,9,11,7,11,4,6,7,9,8,8,4,5,0,5,4,2,3,2,0,1,0,2,1,0
2021/3/31,今福西３丁目,,計,808,1461,0,7,15,9,6,10,6,10,6,14,11,10,14,11,10,10,10,7,22,14,9,15,16,9,18,19,26,20,24,18,27,22,19,20,20,22,18,23,27,18,14,21,18,18,14,17,15,20,33,21,23,25,32,27,18,10,15,23,16,17,17,22,12,16,14,11,7,20,15,7,8,15,26,19,27,18,11,26,18,19,19,10,15,7,9,13,12,13,11,7,6,0,7,4,2,3,2,0,1,0,2,1,0
2021/3/31,今福西４丁目,,男,0,434,0,5,2,3,2,4,1,1,2,2,2,2,5,2,4,0,1,5,2,3,2,3,7,4,5,12,5,5,8,6,6,4,11,2,6,8,8,11,5,7,10,11,3,4,5,10,4,13,9,9,3,4,6,3,4,4,6,3,7,7,7,4,7,3,3,8,4,6,3,9,4,3,10,3,5,6,3,7,3,3,5,7,3,2,3,1,3,2,1,2,1,1,0,1,1,0,1,0,1,0,0,0,0
