基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,池田町,,男,0,2133,0,9,21,6,15,15,12,13,16,11,12,11,14,14,14,15,7,11,14,14,13,14,18,17,23,12,18,17,18,20,12,23,26,29,24,35,27,38,37,23,31,29,27,33,32,30,44,29,41,27,26,35,41,35,37,29,23,41,15,30,29,33,28,23,22,21,26,30,20,28,34,39,39,51,47,33,22,25,28,28,36,24,21,26,18,13,18,10,7,6,9,7,1,2,0,2,0,3,1,0,0,0,0
2021/3/31,池田町,,女,0,2397,0,14,16,15,13,13,12,12,13,16,11,9,16,13,14,6,18,7,7,7,10,15,14,17,21,15,24,21,26,16,17,19,23,25,31,27,27,22,38,35,25,27,33,24,28,29,24,34,45,38,46,40,40,39,41,36,30,29,34,31,24,30,28,40,24,30,27,33,19,44,33,46,47,46,64,41,34,43,28,36,26,42,31,30,31,29,25,19,16,23,11,9,7,7,11,8,2,1,0,1,1,2,0
2021/3/31,池田町,,計,2612,4530,0,23,37,21,28,28,24,25,29,27,23,20,30,27,28,21,25,18,21,21,23,29,32,34,44,27,42,38,44,36,29,42,49,54,55,62,54,60,75,58,56,56,60,57,60,59,68,63,86,65,72,75,81,74,78,65,53,70,49,61,53,63,56,63,46,51,53,63,39,72,67,85,86,97,111,74,56,68,56,64,62,66,52,56,49,42,43,29,23,29,20,16,8,9,11,10,2,4,1,1,1,2,0
2021/3/31,浮田１丁目,,男,0,331,0,2,1,0,2,2,1,4,1,3,3,0,2,1,3,1,1,4,1,4,0,3,5,3,5,3,8,8,9,4,4,6,5,3,8,5,4,6,5,7,5,3,5,4,5,11,5,9,3,8,9,0,10,11,5,4,8,7,1,4,2,3,3,4,4,6,5,2,1,3,4,0,5,7,5,2,3,1,0,1,3,0,0,3,0,1,2,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0
2021/3/31,浮田１丁目,,女,0,309,0,1,2,2,1,1,2,3,2,3,3,1,1,2,1,3,2,2,4,0,3,3,4,5,3,3,5,10,3,10,2,3,2,8,3,2,5,2,6,3,3,2,4,3,6,6,3,5,4,7,5,1,5,5,6,7,4,5,6,4,2,4,5,5,5,4,0,2,3,4,5,4,1,2,4,5,1,5,5,3,2,1,3,5,1,2,1,1,2,1,4,0,0,1,1,0,0,1,0,1,1,0,0
2021/3/31,浮田１丁目,,計,403,640,0,3,3,2,3,3,3,7,3,6,6,1,3,3,4,4,3,6,5,4,3,6,9,8,8,6,13,18,12,14,6,9,7,11,11,7,9,8,11,10,8,5,9,7,11,17,8,14,7,15,14,1,15,16,11,11,12,12,7,8,4,7,8,9,9,10,5,4,4,7,9,4,6,9,9,7,4,6,5,4,5,1,3,8,1,3,3,3,2,3,5,1,0,2,1,0,0,1,0,1,1,0,0
2021/3/31,浮田２丁目,@1,男,0,357,360,1,1,3,4,0,1,2,3,3,2,5,0,3,1,6,0,0,1,1,1,4,2,8,10,19,17,10,6,14,7,6,6,5,6,9,8,6,4,7,6,5,6,7,7,6,6,5,11,1,5,4,5,4,3,5,4,3,4,0,2,4,4,3,2,5,1,6,2,1,1,2,2,3,3,4,0,2,2,2,2,1,1,2,2,2,2,1,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0
2021/3/31,浮田２丁目,@1,女,0,346,348,2,0,0,0,1,2,1,1,4,0,3,1,1,0,2,3,1,2,2,2,9,7,22,9,11,13,4,7,10,8,12,7,7,5,5,6,7,8,7,8,5,3,5,6,3,4,5,3,6,6,5,6,5,4,1,2,2,4,3,1,4,1,2,4,1,1,2,3,1,2,2,1,5,4,2,1,5,4,1,3,2,2,1,1,4,3,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0
2021/3/31,浮田２丁目,@1,計,526,703,708,3,1,3,4,1,3,3,4,7,2,8,1,4,1,8,3,1,3,3,3,13,9,30,19,30,30,14,13,24,15,18,13,12,11,14,14,13,12,14,14,10,9,12,13,9,10,10,14,7,11,9,11,9,7,6,6,5,8,3,3,8,5,5,6,6,2,8,5,2,3,4,3,8,7,6,1,7,6,3,5,3,3,3,3,6,5,2,2,2,3,1,1,3,1,0,0,0,0,0,0,0,0
2021/3/31,梅田１丁目,*1,男,0,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
