基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,西九条１丁目,,男,0,1208,0,15,7,7,5,10,5,10,7,12,18,15,12,8,12,6,6,6,7,5,6,8,12,17,12,12,18,21,19,27,18,22,23,21,18,20,14,26,24,24,14,20,22,18,17,17,25,23,20,26,20,20,25,19,12,18,9,22,13,16,7,14,12,12,7,11,8,12,10,16,13,9,18,10,11,11,8,10,7,11,14,14,6,6,5,6,5,5,4,3,2,2,3,1,1,0,2,0,1,0,0,0,0
2021/3/31,西九条１丁目,,女,0,1177,0,9,12,7,11,7,11,13,10,11,12,4,12,12,7,6,6,4,4,2,9,6,9,14,13,21,21,20,28,23,15,15,16,16,11,17,14,12,17,19,18,16,13,21,16,16,20,25,10,17,14,19,14,17,19,11,19,12,17,10,7,8,9,12,6,4,7,7,7,12,9,17,24,15,13,14,8,12,12,18,10,18,12,7,15,8,16,8,10,5,10,10,4,5,6,3,3,4,0,2,0,0,0
2021/3/31,西九条１丁目,,計,1341,2385,0,24,19,14,16,17,16,23,17,23,30,19,24,20,19,12,12,10,11,7,15,14,21,31,25,33,39,41,47,50,33,37,39,37,29,37,28,38,41,43,32,36,35,39,33,33,45,48,30,43,34,39,39,36,31,29,28,34,30,26,14,22,21,24,13,15,15,19,17,28,22,26,42,25,24,25,16,22,19,29,24,32,18,13,20,14,21,13,14,8,12,12,7,6,7,3,5,4,1,2,0,0,0
2021/3/31,西九条２丁目,,男,0,780,0,1,1,6,1,1,4,4,3,3,3,2,5,6,4,10,11,7,11,5,10,8,11,9,15,11,13,12,11,11,8,8,5,9,6,11,7,6,7,5,11,15,13,7,9,14,22,11,23,10,16,16,14,16,9,10,15,10,12,4,9,10,15,10,2,7,8,11,14,11,13,13,13,11,15,7,2,8,9,12,11,4,6,3,7,2,2,3,4,1,3,2,1,2,0,1,0,0,0,0,0,0,0
2021/3/31,西九条２丁目,,女,0,825,0,5,4,3,5,5,1,4,3,2,3,1,3,3,5,2,8,9,5,7,10,8,9,9,13,12,11,14,12,14,15,5,6,6,7,9,9,6,11,11,5,6,10,7,10,21,16,13,14,13,18,10,14,10,7,11,9,12,11,12,7,14,9,12,5,9,7,13,8,16,10,15,15,12,17,10,6,13,11,8,9,7,16,3,11,7,3,15,10,5,2,3,1,2,4,1,4,0,0,0,1,0,0
2021/3/31,西九条２丁目,,計,936,1605,0,6,5,9,6,6,5,8,6,5,6,3,8,9,9,12,19,16,16,12,20,16,20,18,28,23,24,26,23,25,23,13,11,15,13,20,16,12,18,16,16,21,23,14,19,35,38,24,37,23,34,26,28,26,16,21,24,22,23,16,16,24,24,22,7,16,15,24,22,27,23,28,28,23,32,17,8,21,20,20,20,11,22,6,18,9,5,18,14,6,5,5,2,4,4,2,4,0,0,0,1,0,0
2021/3/31,西九条３丁目,,男,0,865,0,0,1,2,3,3,5,5,1,4,3,7,5,3,3,6,5,3,0,3,6,17,17,11,11,16,22,17,26,14,18,13,8,17,16,19,15,8,11,6,7,10,12,13,7,12,9,18,17,15,20,6,20,20,8,15,6,9,10,8,9,14,5,10,7,9,10,8,13,8,19,14,13,15,15,11,4,7,9,10,10,9,6,1,6,1,9,4,4,4,1,3,1,2,1,0,1,0,0,0,0,0,0
2021/3/31,西九条３丁目,,女,0,934,0,5,3,4,4,0,4,3,6,1,3,5,2,5,5,2,2,4,6,4,1,11,9,14,19,20,15,12,8,17,12,15,12,12,13,15,12,14,11,9,8,7,6,15,10,10,9,15,17,13,17,9,13,14,11,14,9,6,12,14,12,7,10,7,13,8,12,9,4,11,19,17,20,19,9,12,8,13,12,12,12,19,12,10,12,16,10,8,7,10,4,6,8,4,3,1,6,1,2,0,0,1,0
2021/3/31,西九条３丁目,,計,1143,1799,0,5,4,6,7,3,9,8,7,5,6,12,7,8,8,8,7,7,6,7,7,28,26,25,30,36,37,29,34,31,30,28,20,29,29,34,27,22,22,15,15,17,18,28,17,22,18,33,34,28,37,15,33,34,19,29,15,15,22,22,21,21,15,17,20,17,22,17,17,19,38,31,33,34,24,23,12,20,21,22,22,28,18,11,18,17,19,12,11,14,5,9,9,6,4,1,7,1,2,0,0,1,0
2021/3/31,西九条４丁目,,男,0,245,0,1,0,7,0,1,2,3,6,2,2,1,0,0,0,0,0,3,3,2,0,2,0,5,0,2,3,1,6,3,2,2,3,2,1,2,4,2,3,2,5,6,5,6,4,7,5,6,6,5,2,3,2,4,4,3,4,2,2,0,4,2,2,4,2,3,3,1,1,7,5,3,4,7,5,3,1,3,3,3,3,2,3,1,2,0,0,1,0,1,4,1,0,1,0,1,0,0,0,0,0,0,0
