基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,波除１丁目,,計,897,"1,821",,23,19,23,14,22,17,15,12,13,19,16,24,23,15,17,7,14,16,7,17,14,8,22,20,21,22,24,25,26,16,24,22,33,24,21,28,26,28,24,27,27,29,25,18,43,40,22,33,21,31,21,26,18,15,18,18,14,13,15,10,8,8,14,11,10,11,16,23,25,29,29,32,35,15,29,34,32,23,27,24,20,21,19,19,13,7,6,8,9,2,2,2,4,4,1,,2,,1,,1,
2020/3/31,波除２丁目,,計,"1,209","2,054",,18,12,7,17,10,15,11,10,10,8,7,8,7,12,15,12,16,13,21,16,17,27,21,27,28,38,36,32,32,36,32,33,44,40,32,22,33,36,34,35,30,32,17,27,29,30,43,22,35,23,43,22,30,17,27,23,24,32,20,30,19,26,17,15,22,25,28,30,22,30,16,25,34,23,23,21,23,23,18,21,16,21,17,15,14,17,10,11,3,8,4,6,3,5,2,,,1,1,,3,
2020/3/31,波除３丁目,,計,697,"1,024",,6,9,1,5,1,,1,4,2,3,4,8,5,5,7,1,6,8,5,9,11,17,20,31,30,37,28,26,25,23,22,18,19,16,15,18,11,20,15,16,11,12,14,9,16,13,14,12,16,12,7,13,16,14,11,15,12,10,12,16,9,14,8,8,7,7,11,10,17,11,19,11,7,7,4,4,5,10,5,9,8,9,7,13,6,6,6,5,8,1,2,2,1,1,1,,1,,,,1,
2020/3/31,波除４丁目,,計,994,"2,356",,14,17,17,25,24,37,44,49,39,48,50,50,27,46,25,23,24,15,33,25,12,16,21,15,13,10,5,6,6,10,14,16,14,17,22,27,40,36,33,38,39,62,51,63,57,70,70,50,45,44,33,34,29,30,17,20,21,21,9,19,19,18,9,13,12,14,16,23,19,25,36,34,34,18,18,23,27,38,24,20,15,11,13,14,19,14,6,7,8,6,4,3,2,1,4,,1,,1,,,
2020/3/31,波除５丁目,,計,893,"1,760",,6,10,15,8,11,11,10,12,11,13,13,7,12,16,14,14,15,18,19,21,21,14,25,17,30,29,27,37,31,23,29,18,20,21,19,26,21,32,14,22,23,18,24,21,28,24,33,35,30,31,38,30,26,20,23,27,24,21,15,17,34,26,19,17,20,14,22,15,18,14,33,21,17,14,9,22,23,26,15,19,10,7,18,12,7,13,15,7,8,3,3,6,3,2,2,1,2,1,1,1,,
2020/3/31,波除６丁目,,計,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,1,1,,,,,,,,1,,,1,1,2,1,2,,1,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,
2020/3/31,市岡元町１丁目,,計,"1,313","1,831",,9,9,15,16,12,9,14,10,7,6,8,3,5,6,5,4,6,11,11,13,29,25,60,71,89,51,65,53,52,49,45,40,44,34,35,34,25,25,19,37,21,22,32,24,23,29,26,21,21,20,21,30,21,12,21,16,12,16,26,21,16,14,9,12,13,16,13,10,17,17,16,21,19,13,4,8,11,13,12,6,1,7,4,5,10,3,12,11,4,4,3,3,4,1,1,1,,,1,,,
2020/3/31,市岡元町２丁目,,計,"1,213","2,041",,17,11,15,13,8,10,13,7,13,7,15,13,10,12,5,13,8,19,13,23,31,37,49,45,45,38,30,23,50,23,35,33,26,38,35,28,30,32,27,20,24,22,21,11,19,23,25,29,28,29,21,29,16,26,27,26,25,25,25,32,25,32,23,26,15,19,23,20,25,19,30,32,29,24,15,27,22,15,18,33,23,17,13,15,10,21,11,10,5,9,11,5,5,4,3,3,1,,,,,
2020/3/31,市岡元町３丁目,,計,680,"1,117",,10,12,11,10,10,7,1,3,9,3,8,5,4,7,7,7,2,3,6,4,9,13,16,21,31,23,23,27,28,20,17,31,29,18,14,21,18,12,10,12,17,16,25,16,18,21,22,10,18,15,22,18,10,14,15,13,22,23,22,11,16,7,8,9,9,9,7,9,14,7,14,16,13,3,2,8,11,12,12,8,7,5,7,3,7,8,2,1,2,3,2,2,1,,,1,,1,1,,,
2020/3/31,南市岡１丁目,,計,800,"1,254",,3,5,3,5,5,5,4,10,8,5,9,9,9,7,3,9,5,4,8,18,17,22,32,34,28,26,23,18,22,19,20,22,16,12,17,15,18,25,19,15,20,13,20,17,14,20,19,12,17,18,17,17,19,15,15,15,7,16,10,11,11,15,10,15,10,15,14,21,19,15,16,24,19,13,7,9,14,11,16,9,16,2,13,9,7,10,10,5,4,11,3,6,4,1,,2,,,1,,1,
