基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,片町１丁目,,計,971,"1,368",,11,17,5,7,7,8,5,5,4,3,2,6,5,5,3,7,6,8,2,10,12,9,20,17,31,43,35,33,53,41,33,28,28,24,28,28,28,31,30,32,30,24,30,29,28,26,23,29,25,21,31,19,22,14,26,14,24,13,12,12,12,13,13,7,15,8,5,11,9,14,14,12,9,5,2,6,5,6,8,6,3,3,3,3,3,2,2,1,2,2,1,,,,,1,,,,,,
2020/3/31,片町２丁目,,計,569,720,,5,3,,4,3,,1,,,3,2,,2,3,1,3,1,2,1,3,6,6,15,22,20,19,27,26,25,17,25,18,15,20,13,11,16,20,13,17,17,9,9,7,6,12,9,8,11,15,5,2,5,6,11,6,5,6,4,12,7,3,6,8,5,9,3,13,7,13,7,13,4,5,4,9,9,2,1,2,4,6,1,2,3,1,,2,3,2,2,4,3,1,1,,1,,,1,,
2020/3/31,網島町,,計,792,"1,230",,6,10,8,3,8,7,10,8,8,7,7,8,8,8,4,6,6,2,5,2,7,2,9,14,14,16,20,19,22,19,18,29,23,19,20,17,23,18,21,34,28,21,23,29,20,19,28,25,23,16,13,26,14,15,18,22,17,13,9,22,13,11,9,8,14,14,16,9,16,19,25,30,14,16,4,4,9,13,10,8,10,8,2,6,7,7,4,8,5,2,5,1,2,1,,1,1,1,,1,,
2020/3/31,東野田町１丁目,,計,"1,255","1,733",,17,6,10,10,9,4,5,5,4,7,5,13,9,11,4,10,3,8,7,16,12,19,44,46,60,58,41,47,45,50,49,49,39,35,37,33,30,24,34,25,36,34,26,34,27,40,40,37,23,35,29,32,30,23,23,24,22,22,17,12,10,9,18,9,18,15,4,9,13,6,8,7,9,8,7,9,6,7,7,4,3,1,5,8,3,4,4,3,2,2,1,1,1,1,1,3,,,1,,,
2020/3/31,東野田町２丁目,,計,186,277,,5,3,5,1,1,1,1,1,,2,,1,1,,,,,1,,,1,,2,,5,7,6,3,10,8,8,11,6,9,5,5,8,7,4,4,3,8,5,6,4,9,5,8,6,4,5,8,2,2,4,6,2,1,5,3,5,6,1,1,6,,1,,,1,2,2,3,1,1,,2,1,1,4,2,2,,,3,2,,,,,1,,,,,1,,,,,,
2020/3/31,東野田町３丁目,,計,267,388,,1,4,1,2,3,2,1,3,,2,,2,,,2,,,1,,3,5,1,2,5,3,7,5,6,4,5,5,1,4,3,1,6,4,5,4,6,4,6,6,4,6,5,6,5,7,5,4,6,8,6,5,8,5,7,7,5,1,8,8,2,13,5,6,9,2,5,7,11,6,5,5,13,8,5,5,5,6,6,2,5,4,3,3,1,,,2,1,2,,,,,,,,,
2020/3/31,東野田町４丁目,,計,875,"1,297",,12,8,3,5,7,3,5,3,1,5,1,6,5,7,7,,6,7,7,11,15,16,23,35,27,35,30,28,26,25,36,26,24,21,28,21,27,14,22,15,15,17,12,17,17,15,13,24,21,19,10,18,13,18,16,22,9,15,16,14,17,15,17,13,14,23,12,11,18,15,16,12,14,10,6,7,10,15,17,5,6,7,9,8,10,9,9,8,4,10,1,9,5,2,1,3,1,2,2,,,
2020/3/31,東野田町５丁目,,計,"1,044","1,469",,9,7,2,4,6,3,3,5,2,6,11,2,5,8,4,4,7,6,3,7,12,17,10,40,27,39,51,27,46,35,40,32,31,32,20,24,18,26,18,19,15,20,20,19,16,25,21,33,18,19,22,25,21,9,13,17,17,17,12,20,16,15,8,12,6,21,9,17,26,20,16,27,26,14,15,13,22,19,17,12,12,8,8,10,4,7,8,6,7,4,5,2,2,3,1,1,2,,,,1,
2020/3/31,中野町１丁目,,計,871,"1,048",,4,2,6,3,1,6,1,2,4,2,2,,4,2,4,2,3,3,4,3,10,9,24,62,38,41,44,27,44,36,28,27,22,22,16,27,22,22,12,25,16,11,10,16,17,15,22,17,21,11,18,11,13,11,9,11,6,11,3,6,7,7,5,5,5,4,5,4,12,8,13,6,12,2,5,8,11,5,8,6,2,4,5,4,3,4,,1,1,1,3,3,2,3,,,1,2,,,,
2020/3/31,中野町２丁目,,計,"1,427","1,999",,7,6,7,9,10,10,9,8,7,10,6,15,9,4,10,9,8,6,30,24,21,38,35,56,53,44,39,35,41,40,38,46,32,32,29,26,30,27,35,47,29,33,27,30,40,34,31,28,29,32,30,30,19,29,23,25,18,20,24,22,19,16,16,18,19,25,26,15,24,20,29,28,17,21,11,20,25,17,18,16,8,12,12,12,8,7,5,7,5,1,6,5,4,2,1,,,1,1,,1,
