基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,安治川１丁目,,男,0,81,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0,1,2,2,1,1,0,0,3,2,5,0,0,1,1,3,1,3,3,1,2,0,1,0,1,1,1,0,1,0,2,0,1,0,0,1,2,0,0,1,2,0,2,0,1,1,0,1,0,3,1,1,3,2,1,2,1,2,0,2,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021/3/31,安治川１丁目,,女,0,85,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,4,2,0,3,3,2,0,1,1,3,0,1,2,5,1,0,1,3,0,2,1,1,0,2,0,0,0,1,1,3,0,1,0,0,0,0,0,1,0,0,0,2,2,2,2,2,3,4,0,2,3,1,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
2021/3/31,安治川１丁目,,計,112,166,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,2,5,0,1,2,2,4,5,2,0,6,5,7,0,1,2,4,3,2,5,8,2,2,1,4,0,3,2,2,0,3,0,2,0,2,1,3,1,3,0,0,1,2,0,3,0,1,1,2,3,2,5,3,4,7,2,3,5,2,3,0,2,3,0,1,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0
2021/3/31,安治川２丁目,,男,0,43,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,1,1,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,3,0,1,0,0,1,2,2,0,1,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021/3/31,安治川２丁目,,女,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,0,0,2,2,0,0,1,1,0,0,1,1,1,2,0,0,0,2,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
2021/3/31,安治川２丁目,,計,44,78,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,2,1,1,3,0,0,0,1,1,1,0,3,1,0,0,0,0,1,0,0,0,1,1,1,1,1,2,0,0,2,0,2,2,0,2,0,1,3,0,3,2,0,1,3,3,0,1,1,1,2,2,0,0,2,3,0,2,0,2,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
2021/3/31,阿波座１丁目,,男,0,211,0,1,1,1,0,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,5,4,1,9,8,14,9,5,7,7,4,10,6,6,5,5,6,5,5,8,5,1,3,6,5,2,3,1,0,3,0,1,6,4,1,1,1,2,2,0,1,0,1,2,0,0,3,1,1,2,1,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021/3/31,阿波座１丁目,,女,0,244,0,3,1,0,2,1,1,1,1,2,1,1,1,0,1,0,1,1,2,1,1,1,0,4,8,15,4,4,5,7,12,10,9,5,9,10,10,7,5,6,7,7,3,4,1,7,3,3,1,1,1,2,0,1,3,2,2,1,5,0,0,0,2,1,3,0,2,1,2,2,0,2,1,1,0,1,2,0,2,0,0,1,0,0,0,3,2,0,2,2,0,3,1,0,0,0,1,0,0,0,0,0,0
2021/3/31,阿波座１丁目,,計,358,455,0,4,2,1,2,2,3,2,2,3,2,1,1,0,1,0,2,2,2,1,1,1,1,9,12,16,13,12,19,16,17,17,16,9,19,16,16,12,10,12,12,12,11,9,2,10,9,8,3,4,2,2,3,1,4,8,6,2,6,1,2,2,2,2,3,1,4,1,2,5,1,3,3,2,3,4,3,0,2,0,0,1,0,1,0,4,2,0,2,2,0,3,1,0,0,0,1,1,0,0,0,0,0
2021/3/31,阿波座２丁目,,男,0,153,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,1,0,2,1,4,5,6,3,6,7,6,6,2,7,5,2,2,7,3,4,1,0,3,2,1,4,3,2,3,2,6,1,1,1,3,3,1,1,0,1,1,1,2,1,0,1,0,1,2,2,2,1,2,0,2,0,1,0,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
