基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,山王１丁目,,計,"1,004","1,317",,4,2,6,3,,5,1,3,3,2,7,4,6,3,5,4,3,7,7,9,12,17,16,17,24,21,19,12,20,23,20,19,11,21,8,19,13,12,11,17,14,9,12,12,16,11,20,30,13,20,11,19,29,22,14,22,18,15,17,15,18,19,22,28,19,12,20,19,20,23,35,20,34,25,17,19,25,21,21,12,13,10,22,11,14,12,14,12,8,3,2,4,1,,,,,1,4,,2,
2020/3/31,山王２丁目,,計,"1,150","1,420",,4,1,1,3,3,3,2,4,3,3,4,5,2,4,5,8,5,9,3,7,11,10,16,25,14,22,14,17,11,13,11,9,5,20,6,9,8,8,14,9,10,10,20,9,19,15,21,21,18,17,16,28,15,20,11,14,19,20,14,15,19,14,18,19,10,20,28,22,34,42,35,42,33,48,32,32,26,37,36,32,27,17,19,22,12,22,11,15,5,8,6,3,4,2,,1,3,,,,1,
2020/3/31,山王３丁目,,計,"1,125","1,245",,,,1,1,1,1,2,,,1,3,1,2,1,2,3,3,1,2,6,3,6,15,9,4,3,8,13,5,6,2,3,4,4,6,5,4,5,8,7,14,5,8,9,10,7,14,14,10,26,13,16,26,10,23,23,21,18,18,24,18,29,24,22,26,29,33,34,40,35,45,59,51,35,33,34,25,26,28,20,26,12,18,17,6,14,11,9,6,5,6,2,3,2,,1,,,1,,,
2020/3/31,太子１丁目,,計,"1,306","1,408",,,,,3,,1,,1,,,,,3,2,1,,2,,2,2,3,7,2,4,10,9,9,12,10,3,14,7,11,6,8,4,5,7,7,12,9,8,10,10,16,11,10,14,24,16,22,26,21,21,24,19,29,23,25,25,21,27,30,32,29,25,35,30,41,53,56,38,51,36,29,27,36,27,37,25,24,24,20,28,22,24,9,11,4,7,9,4,1,,1,1,1,,,,3,
2020/3/31,太子２丁目,,計,463,495,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,1,1,,,1,,,,1,3,,3,,3,,,2,1,1,4,3,2,7,3,5,6,4,8,4,4,10,6,8,8,8,8,9,9,9,12,18,17,15,13,21,26,17,11,20,7,15,21,18,17,14,10,11,14,8,8,7,9,7,6,2,1,3,,,,,,,,,,
2020/3/31,萩之茶屋１丁目,,計,"3,419","3,506",,,,,,,,1,1,,1,1,,,,,,1,3,1,3,5,6,5,2,3,6,4,5,5,6,2,7,14,10,7,17,7,20,24,18,20,15,20,30,27,31,42,35,65,44,48,65,57,62,54,57,60,70,53,68,69,56,66,81,85,103,88,108,103,142,138,142,151,111,81,84,103,93,88,75,63,60,54,53,37,27,34,27,19,8,12,4,5,8,6,,5,5,1,1,2,
2020/3/31,萩之茶屋２丁目,,計,"3,266","3,293",,,,,1,,,,,1,,,,,,,1,2,,7,21,10,12,16,22,9,14,9,12,8,9,11,10,13,12,13,17,11,14,17,16,23,23,30,23,27,43,39,42,55,66,50,64,72,70,52,60,76,74,59,69,59,75,80,84,85,68,89,104,104,125,126,121,126,71,54,62,76,59,72,55,50,36,43,34,44,23,24,9,5,6,5,3,5,5,,,,,,,1,
2020/3/31,萩之茶屋３丁目,,計,"1,002","1,075",,2,1,,3,1,,2,,,2,1,3,,1,1,,,,3,3,,3,,1,5,5,5,,5,1,1,3,2,3,3,1,2,1,5,5,1,6,2,5,5,8,13,7,5,9,10,11,13,13,16,19,11,12,19,13,9,13,12,22,15,19,29,25,42,32,39,58,59,35,22,37,30,27,46,37,33,26,21,21,20,17,12,15,6,4,7,5,4,,1,,,,2,,1,
2020/3/31,花園北１丁目,,計,"1,692","1,842",,4,4,,,2,,1,,,,3,2,,2,3,3,1,2,3,31,46,38,62,54,43,43,41,36,28,23,16,20,17,11,11,11,10,14,9,11,15,12,14,12,17,15,16,18,20,16,23,18,13,27,14,23,21,28,19,36,15,24,30,32,23,34,45,37,36,43,54,50,48,50,27,29,38,35,36,26,21,15,14,16,18,11,12,7,7,9,7,3,2,2,1,,1,,2,,,
2020/3/31,花園北２丁目,,計,"2,320","2,671",,7,4,2,3,5,3,3,2,5,3,3,6,3,5,4,6,6,3,5,38,49,70,64,68,63,46,48,52,22,28,26,18,13,19,14,16,16,17,17,17,18,29,15,15,24,17,22,28,38,31,30,34,35,37,32,32,32,24,25,45,35,38,40,36,38,40,49,39,61,67,68,74,80,51,41,44,45,59,56,53,33,43,36,28,37,28,20,12,10,9,11,8,7,2,5,2,1,1,2,,,
