基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,柏里１丁目,,計,697,"1,166",,6,13,4,11,6,10,8,7,7,4,12,5,3,6,2,3,7,4,8,13,15,8,20,15,19,25,18,33,32,25,26,24,19,18,13,24,22,14,12,20,20,21,9,15,12,11,16,22,18,12,14,20,17,15,15,15,16,13,7,12,15,16,8,9,9,6,10,14,8,7,17,12,20,16,13,22,10,9,12,13,10,8,5,6,11,1,2,6,6,5,1,4,5,1,3,1,2,2,,,,
2020/3/31,柏里２丁目,,計,811,"1,315",,10,13,11,6,3,6,8,6,7,8,5,8,12,3,4,4,12,11,10,13,13,13,17,18,20,28,27,31,28,23,25,15,19,19,23,18,12,24,18,18,17,17,22,17,17,23,28,25,19,21,28,20,15,14,10,18,17,10,15,22,12,13,14,9,17,7,16,14,19,13,18,21,21,14,8,14,10,13,14,9,9,8,13,11,7,2,9,7,5,1,4,3,8,1,1,3,1,,1,,1,
2020/3/31,柏里３丁目,,計,920,"1,404",,5,3,9,2,6,6,4,2,12,3,2,8,4,1,2,5,4,1,10,14,9,9,11,14,13,13,12,14,18,16,14,8,9,11,17,15,14,8,15,14,10,10,14,15,17,19,22,15,27,17,20,21,22,15,22,27,20,17,17,14,15,11,12,22,15,18,17,23,14,30,28,30,41,27,26,32,37,23,30,23,24,27,31,25,15,12,16,17,15,7,4,4,3,3,1,1,1,2,2,1,1,
2020/3/31,花川１丁目,,計,680,"1,222",,8,5,6,8,6,9,5,9,4,9,10,4,13,16,5,14,12,8,9,13,14,12,20,10,20,19,23,27,18,15,14,19,13,16,10,15,14,13,7,11,10,14,17,16,14,15,14,26,29,18,18,16,15,14,14,16,19,16,10,10,12,15,12,9,9,11,9,10,22,18,19,19,22,10,12,12,16,19,19,16,12,15,13,17,19,9,5,6,8,5,5,3,3,4,2,,,1,,,,
2020/3/31,花川２丁目,,計,"1,036","2,095",,12,22,18,27,13,17,15,16,19,21,16,17,17,22,15,19,15,26,16,25,14,20,20,37,24,29,26,34,40,32,35,34,27,40,27,32,29,25,21,35,31,24,32,34,32,36,40,35,50,40,24,37,23,24,22,30,26,23,17,30,26,19,23,16,22,14,24,9,16,25,30,34,20,28,12,17,22,13,26,14,14,4,14,11,10,11,9,10,12,4,5,5,4,6,3,1,,1,2,,,
2020/3/31,歌島１丁目,,計,"1,169","2,051",,12,12,16,7,14,16,17,8,17,10,11,13,13,9,15,12,11,20,20,21,26,31,38,36,34,39,33,41,28,28,30,32,34,41,30,31,23,21,26,23,31,22,21,22,36,28,33,40,42,30,32,27,33,35,31,21,32,21,19,22,19,27,13,24,15,23,25,24,22,27,25,25,36,24,22,24,10,22,15,12,15,15,11,18,10,9,12,8,8,6,3,4,8,4,4,1,2,,,1,1,
2020/3/31,歌島２丁目,,計,874,"1,809",,12,9,16,16,7,9,8,15,16,9,18,23,27,17,22,25,23,17,34,28,29,24,21,24,19,33,25,27,30,19,18,27,21,17,23,25,24,14,19,18,20,22,27,22,40,25,37,48,51,37,39,37,32,28,24,37,16,21,23,17,21,21,11,16,17,17,18,18,18,20,22,19,18,13,7,13,12,13,13,15,4,11,10,7,7,6,4,4,5,3,3,2,4,2,3,1,,,,,,
2020/3/31,歌島３丁目,,計,992,"1,988",,13,12,15,10,14,12,21,8,14,8,8,12,9,19,9,17,10,13,17,14,20,19,17,21,18,14,15,16,20,16,17,26,25,17,28,15,22,12,22,22,20,14,27,22,16,23,30,33,25,17,23,32,26,17,27,20,33,34,28,35,20,23,25,23,22,27,30,27,29,41,45,43,32,34,22,31,38,39,29,33,32,29,24,30,29,22,14,16,4,8,4,8,4,6,,2,1,1,1,,1,
2020/3/31,歌島４丁目,,計,253,463,,2,2,1,1,2,2,2,1,3,2,1,3,1,3,3,3,6,3,5,3,3,7,5,5,6,4,4,3,5,5,4,1,5,2,1,6,1,2,2,2,6,4,4,5,2,4,5,9,8,3,7,9,6,6,2,10,11,9,11,4,7,7,4,15,7,7,8,7,9,9,6,14,7,11,11,6,4,14,9,5,4,7,3,6,4,4,,4,1,6,3,2,,1,,,1,1,,,2,
2020/3/31,野里１丁目,,計,"2,272","3,583",,26,20,25,13,24,20,15,20,15,13,19,18,23,20,32,25,18,18,27,36,38,51,64,80,67,84,73,85,61,69,52,57,55,55,43,49,42,43,44,36,33,52,48,48,58,50,53,67,54,52,52,80,56,50,54,43,47,38,41,31,37,40,28,38,28,28,27,43,35,52,54,53,48,41,21,38,29,38,31,38,25,31,24,29,28,19,18,19,13,11,7,3,7,3,3,4,7,,1,1,1,
