基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,安立１丁目,,計,738,"1,264",,3,3,5,5,3,6,4,3,7,2,2,5,3,5,3,11,10,11,9,9,12,16,21,15,14,18,15,20,11,13,16,14,7,20,17,9,13,9,6,8,10,14,12,11,9,15,21,15,21,18,19,26,11,20,18,20,21,17,21,14,12,20,14,12,22,15,19,26,20,19,25,32,30,17,6,15,22,15,21,17,15,18,16,20,12,15,13,16,7,8,7,4,10,1,4,,3,,,,,
2020/3/31,安立２丁目,,計,650,"1,106",,1,5,4,6,6,10,10,18,6,9,15,7,6,8,7,9,9,10,11,6,10,7,12,13,16,16,9,12,13,13,11,11,19,9,17,14,19,12,12,12,11,20,21,14,14,23,21,10,19,21,24,12,25,9,15,17,14,11,15,16,13,12,7,18,16,11,16,13,16,19,17,21,16,8,7,12,12,7,12,10,7,11,4,12,13,7,6,4,3,5,8,2,4,2,2,,1,,,,,
2020/3/31,安立３丁目,,計,400,730,,4,5,8,2,3,3,4,2,3,7,4,7,7,6,5,6,4,6,8,8,9,5,11,6,11,11,8,7,7,9,10,9,4,7,9,7,9,7,4,13,6,12,17,7,8,15,15,19,12,10,6,14,20,11,4,9,15,8,7,5,10,12,8,7,9,3,11,9,5,7,10,12,11,8,7,8,10,11,9,10,5,6,6,9,4,3,8,12,2,2,3,2,1,2,1,1,,1,,,,
2020/3/31,安立４丁目,,計,658,"1,220",,15,10,13,10,13,7,10,7,3,12,6,3,10,,10,5,7,7,9,11,9,12,11,19,19,19,11,16,14,24,10,22,22,22,17,12,17,22,18,9,19,10,18,24,9,24,16,15,19,15,18,18,15,19,10,16,14,11,11,16,12,16,12,15,13,14,12,15,13,14,22,24,24,16,9,12,10,12,14,13,7,18,12,15,12,3,5,9,10,2,6,5,3,3,3,1,1,2,1,,,
2020/3/31,泉１丁目,@1,計,207,320,326,2,,1,2,,2,,,2,,2,3,1,5,2,1,1,1,4,3,3,5,9,2,5,3,3,6,2,3,3,,1,1,9,5,2,4,2,1,3,4,4,7,6,5,10,4,3,9,9,6,6,6,,4,6,4,5,2,2,2,7,7,5,7,9,8,6,7,6,3,6,3,3,9,2,4,5,3,3,1,2,,2,5,2,,1,,,,2,,,,,,,,,
2020/3/31,泉２丁目,*1,計,6,6,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2020/3/31,北加賀屋１丁目,,計,"1,203","2,052",,11,13,7,11,10,14,10,14,9,16,13,17,16,17,20,13,9,10,16,20,20,27,24,25,34,31,22,16,25,17,31,17,19,23,29,21,26,30,30,28,21,33,26,33,30,32,37,42,38,30,27,42,30,23,34,32,32,33,25,16,22,17,14,17,16,19,35,22,33,34,39,34,41,33,13,24,22,23,26,21,22,19,8,14,16,19,11,13,10,6,12,6,3,3,1,2,2,2,,,1,
2020/3/31,北加賀屋２丁目,,計,518,908,,11,5,9,7,3,5,3,3,3,4,4,10,7,8,4,5,6,2,3,8,4,2,8,12,13,10,9,13,14,13,12,19,10,10,10,10,13,11,13,9,8,14,19,19,8,17,15,12,21,12,15,16,13,8,11,13,14,10,13,4,9,12,11,11,9,6,17,16,12,17,14,11,20,11,4,13,12,4,15,6,7,11,15,9,6,9,10,7,6,,2,5,1,1,1,1,,,,,,
2020/3/31,北加賀屋３丁目,@2,計,178,245,247,,1,,,1,,1,,,2,1,,,,1,2,1,,,2,2,3,3,5,3,1,1,1,,1,4,2,2,3,2,3,3,1,1,3,2,2,3,1,2,2,2,4,2,4,2,5,5,2,4,3,1,4,4,4,3,1,3,3,2,1,3,3,7,5,8,14,9,8,5,8,10,7,4,7,1,2,4,3,2,1,3,2,2,,,,,1,,,,,1,,,
2020/3/31,北加賀屋４丁目,*2,計,2,2,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2020/3/31,北加賀屋５丁目,,計,"1,381","2,682",,17,13,22,8,12,11,12,12,10,10,14,14,17,20,17,20,43,27,32,41,27,42,39,29,36,32,31,30,30,31,32,19,26,32,19,24,19,27,29,21,34,24,31,30,29,34,43,39,62,51,57,58,62,43,48,55,32,57,39,43,25,32,32,22,20,18,39,34,40,33,50,42,42,37,20,32,27,28,40,43,20,20,22,25,19,14,9,15,10,8,10,4,10,4,5,5,2,4,1,,1,
2020/3/31,北島１丁目,,計,967,"1,674",,4,10,12,8,6,10,9,17,7,15,12,11,14,12,9,12,9,20,7,14,23,13,15,16,12,10,13,13,19,9,14,13,18,20,9,20,13,13,15,18,20,13,20,17,20,22,23,29,19,17,27,23,17,13,14,19,15,11,17,15,12,17,18,24,21,23,32,35,18,32,37,51,49,33,24,30,30,35,44,28,30,16,18,25,14,18,17,4,10,8,8,4,7,4,3,5,4,,1,,,
