基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,大領１丁目,,男,0,133,0,1,1,1,1,0,1,0,1,1,1,2,0,0,1,1,1,1,1,1,1,1,4,0,5,0,0,1,2,1,2,1,1,4,1,2,2,2,1,1,0,3,1,2,4,1,1,0,1,3,1,2,3,3,3,2,3,4,3,3,2,2,3,1,2,3,0,0,0,1,1,3,1,1,3,3,1,1,0,2,2,1,1,0,1,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2021/3/31,大領１丁目,,女,0,155,0,2,1,2,2,0,1,2,2,0,1,1,2,0,0,3,0,0,1,0,3,2,4,0,0,6,2,4,0,1,2,1,1,2,2,3,2,3,1,0,1,1,1,2,1,5,1,1,3,2,2,2,2,4,1,2,1,3,3,5,3,3,2,3,2,1,1,2,0,0,4,1,2,0,3,3,1,1,0,1,4,0,2,1,4,1,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2021/3/31,大領１丁目,,計,141,288,0,3,2,3,3,0,2,2,3,1,2,3,2,0,1,4,1,1,2,1,4,3,8,0,5,6,2,5,2,2,4,2,2,6,3,5,4,5,2,1,1,4,2,4,5,6,2,1,4,5,3,4,5,7,4,4,4,7,6,8,5,5,5,4,4,4,1,2,0,1,5,4,3,1,6,6,2,2,0,3,6,1,3,1,5,2,6,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2021/3/31,大領２丁目,,男,0,496,0,5,4,3,4,3,6,10,4,6,3,2,4,3,8,4,4,5,2,6,3,4,5,3,11,3,2,5,4,4,2,6,4,6,8,3,4,5,5,5,7,6,10,9,9,2,2,13,9,4,7,12,9,10,8,5,10,5,13,8,10,6,5,7,4,5,8,3,6,2,3,3,6,7,10,9,1,8,7,6,5,5,5,0,4,7,4,1,2,3,4,1,0,1,2,0,0,0,0,0,0,0,0
2021/3/31,大領２丁目,,女,0,608,0,1,2,2,6,8,3,4,5,8,5,6,1,6,1,3,6,5,3,6,2,6,3,5,6,2,9,4,3,8,7,6,5,5,7,7,4,12,2,5,6,7,7,9,7,4,6,13,7,14,12,7,10,9,11,7,9,9,12,6,12,5,4,9,4,9,5,3,6,8,8,13,11,11,13,9,5,6,4,4,8,6,7,2,8,8,7,10,5,9,7,5,2,5,3,1,1,2,1,1,0,0,0
2021/3/31,大領２丁目,,計,537,1104,0,6,6,5,10,11,9,14,9,14,8,8,5,9,9,7,10,10,5,12,5,10,8,8,17,5,11,9,7,12,9,12,9,11,15,10,8,17,7,10,13,13,17,18,16,6,8,26,16,18,19,19,19,19,19,12,19,14,25,14,22,11,9,16,8,14,13,6,12,10,11,16,17,18,23,18,6,14,11,10,13,11,12,2,12,15,11,11,7,12,11,6,2,6,5,1,1,2,1,1,0,0,0
2021/3/31,大領３丁目,,男,0,321,0,3,3,2,1,3,4,1,4,2,5,5,1,3,4,3,5,2,2,5,2,1,7,3,4,2,3,1,1,3,2,6,7,2,4,5,6,1,4,5,2,3,3,4,8,3,5,3,5,2,3,5,14,9,5,3,7,6,2,5,5,3,3,4,3,5,0,2,2,4,2,5,3,4,11,3,0,4,1,1,1,3,2,3,1,4,3,1,3,4,2,1,2,2,0,0,0,0,0,0,0,0,0
2021/3/31,大領３丁目,,女,0,354,0,2,4,4,3,4,2,3,3,3,1,4,2,1,1,3,1,5,1,3,4,5,3,4,1,0,2,3,2,5,1,7,2,3,5,8,6,3,5,5,6,8,4,0,3,6,4,3,5,5,7,9,5,8,6,4,7,5,5,2,3,5,7,4,2,4,3,2,2,5,4,3,5,5,5,4,3,3,5,7,10,2,2,2,3,11,4,3,1,4,0,1,0,0,1,0,2,0,1,0,0,0,0
2021/3/31,大領３丁目,,計,307,675,0,5,7,6,4,7,6,4,7,5,6,9,3,4,5,6,6,7,3,8,6,6,10,7,5,2,5,4,3,8,3,13,9,5,9,13,12,4,9,10,8,11,7,4,11,9,9,6,10,7,10,14,19,17,11,7,14,11,7,7,8,8,10,8,5,9,3,4,4,9,6,8,8,9,16,7,3,7,6,8,11,5,4,5,4,15,7,4,4,8,2,2,2,2,1,0,2,0,1,0,0,0,0
2021/3/31,大領４丁目,,男,0,719,0,7,7,4,2,7,6,5,5,2,5,10,1,7,5,5,3,5,10,6,10,6,9,12,14,6,6,10,10,8,9,9,10,6,10,13,7,15,4,9,8,5,12,9,9,9,8,12,11,8,8,10,9,10,12,9,11,14,11,6,15,10,8,6,8,8,13,6,9,6,10,8,13,10,8,7,4,11,8,6,8,8,8,5,5,9,5,7,2,5,1,1,2,0,1,1,1,0,0,0,0,0,0
2021/3/31,大領４丁目,,女,0,800,0,1,2,2,6,3,4,5,6,7,7,8,5,6,12,7,8,8,10,5,7,13,11,4,9,8,12,11,5,5,10,8,4,7,4,9,10,9,7,7,9,8,7,8,11,10,6,15,8,10,12,14,10,15,15,9,12,7,9,13,19,12,5,12,12,13,11,10,4,8,9,9,13,14,12,12,10,8,10,12,13,4,9,10,10,3,8,4,9,4,9,3,5,3,5,0,2,1,1,1,0,1,0
