基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,三軒家東１丁目,,計,"1,964","3,395",,18,27,21,27,26,21,21,20,22,19,20,14,18,17,19,24,18,32,28,29,29,52,35,49,58,57,58,51,54,51,44,50,45,52,51,52,57,61,40,60,50,48,60,45,57,57,62,51,56,72,52,59,49,41,51,52,45,50,35,47,39,45,39,36,37,49,35,32,33,42,37,52,45,35,20,20,38,31,32,28,21,18,15,17,18,15,11,15,10,5,11,8,3,2,5,2,2,2,2,2,,
2020/3/31,三軒家東２丁目,,計,"1,094","2,205",,10,13,15,21,16,18,19,15,12,22,33,23,32,26,32,21,34,24,28,30,26,26,30,26,23,19,24,19,25,22,13,14,26,33,34,19,21,25,28,34,22,33,29,42,37,45,38,68,57,43,52,48,44,26,29,27,22,35,24,17,27,21,19,24,14,29,16,23,25,20,23,17,20,20,17,14,17,18,21,15,19,16,17,10,9,17,9,7,8,3,4,4,1,4,1,2,2,,1,1,1,
2020/3/31,三軒家東３丁目,,計,53,70,,,,,,,,,,1,,,,,,,,,,1,,,1,1,3,,1,2,2,1,3,4,4,2,,2,,1,1,,,,,,,2,1,,2,,1,,2,,1,2,,1,,2,,,1,,,,,,1,1,,5,1,3,1,3,2,,3,,,,,1,2,,,,1,,,,,,,,,,,,,1,
2020/3/31,三軒家東４丁目,,計,664,"1,298",,5,13,13,11,16,11,11,17,14,18,9,9,19,12,9,12,11,8,12,11,12,18,14,19,17,15,25,21,13,17,17,15,12,24,12,21,13,20,21,24,19,23,22,20,22,23,19,28,28,8,18,22,29,15,16,19,13,23,20,15,16,10,15,14,13,12,9,11,11,11,17,11,14,6,5,11,13,6,13,11,9,6,9,5,5,4,5,4,4,7,4,1,4,2,2,1,,1,1,1,1,
2020/3/31,三軒家東５丁目,,計,693,"1,411",,13,8,18,13,12,10,9,8,9,13,4,10,7,9,7,6,6,17,8,17,16,25,20,31,14,17,20,20,15,24,21,17,21,17,12,20,17,11,14,17,11,15,25,15,18,10,23,19,23,25,23,24,27,17,30,24,14,19,15,22,19,20,12,16,20,18,12,19,28,16,16,21,19,16,17,12,13,10,16,15,5,6,7,16,10,8,4,7,4,5,5,14,4,1,4,,,,1,,3,
2020/3/31,三軒家東６丁目,,計,612,"1,132",,11,4,8,9,6,10,9,10,5,10,16,8,7,11,7,6,6,7,6,8,13,7,12,8,14,15,14,13,13,19,17,15,12,12,11,8,15,16,18,17,8,12,18,16,14,15,8,19,12,13,17,12,16,15,15,16,9,15,18,9,15,21,16,15,14,22,13,12,18,16,16,20,22,14,7,10,12,11,22,13,9,13,11,5,8,8,6,8,6,8,6,10,2,3,4,1,1,,3,1,,
2020/3/31,三軒家西１丁目,,計,"1,029","1,736",,7,9,11,11,10,13,7,13,9,13,7,13,6,8,6,7,9,7,16,10,17,19,18,25,31,25,42,26,19,22,22,21,25,22,21,33,24,26,19,27,28,25,20,22,19,23,26,16,29,27,35,28,23,27,20,17,19,21,17,19,22,22,18,12,14,19,24,17,28,39,26,27,31,19,15,19,25,21,20,21,21,11,20,18,15,8,8,16,4,7,9,4,4,2,2,2,4,1,3,1,,
2020/3/31,三軒家西２丁目,,計,698,"1,259",,10,7,6,5,6,3,6,7,6,8,8,7,5,4,9,3,7,7,9,9,14,14,16,14,13,15,20,13,14,11,18,14,18,6,13,12,16,15,7,10,7,17,18,9,18,21,19,16,20,20,13,17,18,18,18,21,22,17,19,23,15,20,15,16,12,17,20,18,14,23,28,22,25,19,15,24,13,16,14,22,18,9,8,12,7,13,15,11,5,7,5,3,3,,6,3,4,3,2,,1,
2020/3/31,三軒家西３丁目,,計,647,"1,197",,13,12,10,6,12,9,5,10,6,7,7,4,8,8,8,7,9,13,7,17,21,11,16,21,19,23,22,19,22,20,17,17,18,13,12,18,15,20,13,14,28,14,15,8,17,13,19,17,23,14,18,23,12,21,12,26,16,11,15,14,11,14,8,13,23,19,20,12,13,16,10,9,16,10,10,6,12,12,9,9,7,8,4,7,15,5,10,3,4,4,3,2,,1,,2,2,1,1,1,,
2020/3/31,泉尾１丁目,,計,"2,080","4,025",,26,22,21,35,13,30,21,24,23,32,36,24,38,32,37,27,33,40,34,31,47,43,40,55,51,52,42,37,35,30,35,51,40,45,45,49,50,52,52,45,46,47,50,48,68,64,67,63,66,50,65,62,58,35,61,61,40,47,60,45,43,48,51,42,53,58,55,61,57,77,69,86,69,55,45,48,52,47,62,46,38,39,36,42,31,20,23,17,15,9,9,7,11,7,6,2,4,4,3,,,
2020/3/31,泉尾２丁目,,計,833,"1,709",,3,7,9,7,9,8,6,8,9,10,12,12,10,19,19,18,20,19,25,13,20,13,11,17,14,16,8,9,8,11,10,10,10,21,20,11,16,18,18,20,14,24,14,27,22,30,36,35,26,25,22,19,22,26,29,27,20,19,20,20,21,21,13,26,16,30,22,27,24,27,22,32,40,27,22,30,23,30,29,19,20,21,20,22,22,9,16,15,14,9,10,5,7,1,6,2,1,5,2,,,
2020/3/31,泉尾３丁目,,計,927,"1,953",,16,12,20,24,17,31,24,18,29,19,25,26,22,23,22,13,18,24,19,17,18,19,17,16,11,18,15,20,22,21,28,28,21,27,26,26,32,24,31,33,40,27,27,31,40,27,38,35,31,26,26,36,24,15,19,24,18,17,25,18,18,28,23,22,15,19,31,22,21,31,23,25,26,17,12,18,18,16,9,17,11,14,8,15,17,9,7,5,6,9,4,7,4,2,1,1,3,1,,1,1,
2020/3/31,泉尾４丁目,,計,892,"1,700",,12,17,7,17,14,13,12,11,15,8,4,11,2,14,12,16,12,18,20,13,17,13,22,11,23,25,16,10,19,16,19,23,21,25,18,16,18,23,16,15,13,14,21,16,25,29,26,26,24,25,20,29,32,30,26,29,24,34,15,19,20,19,15,21,27,26,27,22,26,20,31,25,31,31,13,23,22,29,15,17,22,6,14,11,15,13,7,12,10,8,5,10,3,2,1,2,2,4,1,1,,
