基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2021/3/31,西中島１丁目,,男,0,695,0,2,8,5,3,9,4,4,1,2,1,1,2,1,0,3,2,2,0,2,0,7,3,9,20,20,24,25,23,11,22,23,14,25,8,11,13,18,14,14,12,14,10,17,8,9,9,11,11,16,10,7,9,11,9,7,10,8,4,9,6,3,11,5,3,4,5,10,2,6,4,5,8,9,2,4,5,8,5,8,5,4,0,0,2,2,2,1,3,0,1,2,0,0,1,0,0,0,1,0,0,1,0
2021/3/31,西中島１丁目,,女,0,558,0,5,3,4,3,6,2,2,4,1,0,2,0,3,3,1,2,3,1,1,2,4,14,14,22,19,16,13,17,17,17,12,11,9,18,10,10,7,8,13,5,4,2,8,9,11,12,6,12,6,5,5,9,7,6,8,2,3,3,2,8,6,1,8,4,2,1,3,3,7,4,2,7,9,3,2,7,7,4,8,2,4,3,3,1,4,4,0,2,1,2,3,2,2,2,1,1,1,0,0,0,0,0
2021/3/31,西中島１丁目,,計,894,1253,0,7,11,9,6,15,6,6,5,3,1,3,2,4,3,4,4,5,1,3,2,11,17,23,42,39,40,38,40,28,39,35,25,34,26,21,23,25,22,27,17,18,12,25,17,20,21,17,23,22,15,12,18,18,15,15,12,11,7,11,14,9,12,13,7,6,6,13,5,13,8,7,15,18,5,6,12,15,9,16,7,8,3,3,3,6,6,1,5,1,3,5,2,2,3,1,1,1,1,0,0,1,0
2021/3/31,西中島２丁目,,男,0,994,0,2,9,3,2,7,1,1,1,3,3,1,3,2,2,2,4,3,4,6,5,12,7,13,19,23,27,26,30,26,23,24,25,20,17,18,19,21,12,18,11,15,24,13,18,16,18,23,10,25,19,16,20,19,27,19,18,16,14,6,11,8,4,10,10,8,9,7,12,4,13,6,11,14,9,9,7,3,7,2,6,6,4,2,2,3,4,4,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0
2021/3/31,西中島２丁目,,女,0,871,0,5,4,7,2,3,4,3,0,2,3,1,1,2,0,1,1,5,3,6,8,11,12,16,27,23,35,33,27,24,20,30,22,14,12,20,15,15,13,9,15,8,7,6,11,14,12,12,13,12,17,15,12,9,6,7,8,7,8,5,9,8,5,12,7,11,10,4,8,6,5,7,11,8,16,11,2,10,4,6,11,5,4,6,5,5,5,5,6,4,4,5,1,0,0,0,0,2,0,0,0,0,0
2021/3/31,西中島２丁目,,計,1362,1865,0,7,13,10,4,10,5,4,1,5,6,2,4,4,2,3,5,8,7,12,13,23,19,29,46,46,62,59,57,50,43,54,47,34,29,38,34,36,25,27,26,23,31,19,29,30,30,35,23,37,36,31,32,28,33,26,26,23,22,11,20,16,9,22,17,19,19,11,20,10,18,13,22,22,25,20,9,13,11,8,17,11,8,8,7,8,9,9,7,5,5,7,2,1,1,0,0,2,0,0,0,0,0
2021/3/31,西中島３丁目,,男,0,307,0,5,0,4,0,0,1,0,1,0,1,0,2,1,1,0,0,1,2,0,0,0,2,0,9,5,9,15,8,14,7,11,9,6,15,4,8,4,6,7,6,5,4,2,3,7,5,6,3,5,6,8,2,7,2,5,5,4,1,2,3,5,1,1,2,1,4,2,0,4,2,3,6,4,4,1,2,2,0,2,0,2,0,1,0,4,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
2021/3/31,西中島３丁目,,女,0,280,0,0,2,2,1,1,0,0,2,0,2,2,1,1,1,0,0,1,1,2,2,5,5,3,7,4,10,8,11,10,8,4,8,5,5,2,6,6,1,1,4,1,0,2,5,4,6,3,6,4,0,4,4,2,5,3,3,4,4,3,1,1,1,4,3,2,4,2,2,5,2,2,8,5,3,2,3,1,5,1,2,7,1,3,2,3,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0
2021/3/31,西中島３丁目,,計,438,587,0,5,2,6,1,1,1,0,3,0,3,2,3,2,2,0,0,2,3,2,2,5,7,3,16,9,19,23,19,24,15,15,17,11,20,6,14,10,7,8,10,6,4,4,8,11,11,9,9,9,6,12,6,9,7,8,8,8,5,5,4,6,2,5,5,3,8,4,2,9,4,5,14,9,7,3,5,3,5,3,2,9,1,4,2,7,2,1,0,4,2,1,2,0,1,0,0,0,0,0,0,0,0
2021/3/31,西中島４丁目,,男,0,584,0,7,1,3,0,3,2,1,1,1,0,2,2,2,1,1,2,3,2,1,3,5,6,11,11,11,18,11,23,26,17,11,10,17,10,16,10,14,8,12,7,11,12,13,9,7,7,12,5,10,17,12,8,6,9,8,6,7,7,5,9,10,5,7,4,6,10,3,8,5,5,5,6,3,8,5,1,1,2,0,4,2,1,1,0,0,2,1,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0
2021/3/31,西中島４丁目,,女,0,496,0,1,2,0,0,1,0,0,0,1,1,3,2,0,3,1,2,2,3,1,7,8,9,11,9,13,13,21,13,19,12,10,8,12,9,15,11,6,8,7,7,6,3,6,8,5,4,9,7,5,9,9,5,7,10,5,4,13,4,7,2,1,6,0,4,6,5,2,4,2,4,5,5,5,8,3,4,4,4,2,2,3,4,2,3,3,2,3,4,4,3,1,3,2,2,0,0,0,1,1,0,0,0
2021/3/31,西中島４丁目,,計,868,1080,0,8,3,3,0,4,2,1,1,2,1,5,4,2,4,2,4,5,5,2,10,13,15,22,20,24,31,32,36,45,29,21,18,29,19,31,21,20,16,19,14,17,15,19,17,12,11,21,12,15,26,21,13,13,19,13,10,20,11,12,11,11,11,7,8,12,15,5,12,7,9,10,11,8,16,8,5,5,6,2,6,5,5,3,3,3,4,4,7,5,3,2,4,3,2,0,0,0,1,1,0,0,0
2021/3/31,西中島５丁目,,男,0,319,0,4,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,5,7,5,10,10,10,9,8,9,5,5,7,6,7,7,11,14,7,6,5,3,5,6,4,8,6,3,9,7,5,8,5,5,2,6,5,4,4,2,4,2,3,4,1,4,2,1,3,4,3,2,1,3,1,3,2,0,2,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021/3/31,西中島５丁目,,女,0,247,0,2,0,1,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,3,3,1,5,4,9,9,7,4,4,8,8,4,6,7,8,4,5,4,5,2,3,4,7,3,3,8,5,4,1,8,5,3,3,2,0,6,3,0,2,2,3,2,0,4,1,0,2,3,3,1,4,3,4,4,5,0,1,1,1,0,2,2,1,3,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2021/3/31,西中島５丁目,,計,447,566,0,6,1,2,4,3,1,1,0,1,0,0,0,0,0,1,1,0,0,2,3,4,3,10,11,14,19,17,14,13,16,17,9,11,14,14,11,12,15,19,9,9,9,10,8,9,12,13,10,4,17,12,8,11,7,5,8,9,5,6,6,5,6,2,7,5,1,6,5,4,4,8,6,6,5,8,1,4,3,1,2,5,3,2,4,1,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
2021/3/31,西中島６丁目,,男,0,590,0,4,4,2,1,0,1,1,1,2,2,0,2,1,1,0,4,1,1,0,4,4,5,6,22,12,26,23,19,23,18,22,9,12,16,14,14,7,5,6,7,9,5,10,11,8,7,11,10,13,10,10,11,12,7,13,11,10,8,5,5,5,5,2,6,10,4,2,4,5,4,6,7,1,4,5,3,3,6,4,0,5,2,0,1,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
